i,item,reason
374,KR6703317521,payment_lag_not_identifiable_from_maturity
375,KR6503326524,monthly_evaluation_outside_life
376,KR6543321527,nonpositive_annual_coupon
378,20150202000410_3294,unsupported_ki_window
381,KR6593367529,missing_explicit_survival_coupon
382,KR6543327524,nonpositive_annual_coupon
387,KR6593366521,missing_explicit_survival_coupon
393,KR6573374529,missing_explicit_survival_coupon
394,KR6543339529,nonpositive_annual_coupon
401,KR6523367524,missing_explicit_survival_coupon
405,KR6583324522,payment_lag_not_identifiable_from_maturity
406,KR6583325529,missing_explicit_survival_coupon
407,KR6703359523,payment_lag_not_identifiable_from_maturity
408,KR6583328523,payment_lag_not_identifiable_from_maturity
409,KR6583322526,payment_lag_not_identifiable_from_maturity
410,KR6543335527,nonpositive_annual_coupon
413,KR6573393529,missing_explicit_survival_coupon
414,KR6533357523,extra_formula_or_level_PMT_1_FRML
418,KR6503365522,unsupported_ki_window
419,KR6543346524,nonpositive_annual_coupon
420,KR6543345526,nonpositive_annual_coupon
422,KR6543336525,nonpositive_annual_coupon
424,KR6513367526,unsupported_ki_window
426,KR6513366528,unsupported_ki_window
427,KR6593349527,monthly_evaluation_outside_life
428,KR6703340523,payment_lag_not_identifiable_from_maturity
431,KR6593358528,missing_explicit_survival_coupon
440,KR6593360524,missing_explicit_survival_coupon
442,KR65033A0524,monthly_evaluation_outside_life
445,KR6593363528,extra_formula_or_level_PMT_EXTRA
446,KR6593362520,missing_explicit_survival_coupon
447,KR65033A5523,unsupported_ki_window
451,KR6593359526,missing_explicit_survival_coupon
452,KR65333A1529,extra_formula_or_level_PMT_1_FRML
454,KR65133AH520,extra_formula_or_level_PMT_EXTRA
465,KR6583360526,payment_lag_not_identifiable_from_maturity
470,KR6573380526,missing_explicit_survival_coupon
473,KR65733AJ523,missing_explicit_survival_coupon
474,KR65933AB526,missing_explicit_survival_coupon
480,KR65333B6527,missing_explicit_survival_coupon
481,KR6703365520,payment_lag_not_identifiable_from_maturity
482,KR65933B8527,missing_explicit_survival_coupon
486,KR65313BE523,missing_explicit_survival_coupon
493,KR65333BN522,missing_explicit_survival_coupon
494,KR6703379521,payment_lag_not_identifiable_from_maturity
495,KR6703380529,payment_lag_not_identifiable_from_maturity
496,KR65933BL523,missing_explicit_survival_coupon
499,KR65233CG526,missing_explicit_survival_coupon
506,KR65133BJ524,extra_formula_or_level_PMT_EXTRA
507,KR65033C2528,unsupported_ki_window
508,KR6533310530,extra_formula_or_level_PMT_1_FRML
509,KR6673333524,unsupported_ki_window
510,KR65933BN529,missing_explicit_survival_coupon
514,KR6543359527,nonpositive_annual_coupon
515,KR65833A5525,payment_lag_not_identifiable_from_maturity
516,KR65033CS525,unsupported_ki_window
518,KR65933C0523,missing_explicit_survival_coupon
519,KR65733BJ521,missing_explicit_survival_coupon
520,KR65233CQ525,missing_explicit_survival_coupon
528,KR65133AB523,unsupported_ki_window
529,KR65133AC521,unsupported_ki_window
530,KR65133AA525,unsupported_ki_window
532,KR65833A0526,payment_lag_not_identifiable_from_maturity
536,KR65833A1524,payment_lag_not_identifiable_from_maturity
537,KR6593307533,missing_explicit_survival_coupon
538,KR6513315533,extra_formula_or_level_PMT_EXTRA
541,KR6583306537,payment_lag_not_identifiable_from_maturity
542,KR6703304537,missing_explicit_survival_coupon
543,KR6583305539,payment_lag_not_identifiable_from_maturity
544,KR6593310537,extra_formula_or_level_PMT_EXTRA
545,KR6593308531,missing_explicit_survival_coupon
547,KR6593306535,missing_explicit_survival_coupon
549,KR6533327534,payment_lag_not_identifiable_from_maturity
550,KR6533330538,extra_formula_or_level_PMT_1_FRML
551,KR6593309539,missing_explicit_survival_coupon
552,KR6703301533,payment_lag_not_identifiable_from_maturity
555,KR6583303534,payment_lag_not_identifiable_from_maturity
557,KR6533344539,missing_explicit_survival_coupon
565,KR6533361533,missing_explicit_survival_coupon
566,KR6533362531,missing_explicit_survival_coupon
568,KR6703313538,payment_lag_not_identifiable_from_maturity
572,KR6533367530,missing_explicit_survival_coupon
573,KR6523322537,missing_explicit_survival_coupon
576,KR6523362533,missing_explicit_survival_coupon
582,KR6733306536,payment_lag_not_identifiable_from_maturity
584,KR6703335531,payment_lag_not_identifiable_from_maturity
585,KR6583312535,payment_lag_not_identifiable_from_maturity
586,KR6533375533,missing_explicit_survival_coupon
587,KR6533376531,missing_explicit_survival_coupon
588,KR6583308533,payment_lag_not_identifiable_from_maturity
589,KR6573345537,missing_explicit_survival_coupon
590,KR6533322535,extra_formula_or_level_PMT_1_FRML
593,KR6583311537,payment_lag_not_identifiable_from_maturity
594,KR6703339533,payment_lag_not_identifiable_from_maturity
595,KR6593351531,monthly_evaluation_outside_life
601,KR6593321534,missing_explicit_survival_coupon
602,KR6593320536,missing_explicit_survival_coupon
605,KR6503321533,unsupported_ki_window
606,KR6583342532,payment_lag_not_identifiable_from_maturity
608,KR6533378537,payment_lag_not_identifiable_from_maturity
609,KR6533377539,payment_lag_not_identifiable_from_maturity
614,KR6513311532,unsupported_ki_window
616,KR6593323530,missing_explicit_survival_coupon
617,KR6723302537,missing_explicit_survival_coupon
619,KR6513310534,unsupported_ki_window
626,KR6703314536,payment_lag_not_identifiable_from_maturity
627,KR6593327531,extra_formula_or_level_PMT_EXTRA
630,KR6703360539,payment_lag_not_identifiable_from_maturity
631,KR6593325535,missing_explicit_survival_coupon
632,20150303000211_1523,unsupported_ki_window
635,KR6593322532,missing_explicit_survival_coupon
636,KR65333A0539,missing_explicit_survival_coupon
638,KR6533399533,missing_explicit_survival_coupon
641,KR6703365538,payment_lag_not_identifiable_from_maturity
643,KR65933A2539,missing_explicit_survival_coupon
645,KR65333AL536,missing_explicit_survival_coupon
646,KR65333AK538,missing_explicit_survival_coupon
647,KR6593397534,missing_explicit_survival_coupon
656,KR65133A0531,extra_formula_or_level_PMT_EXTRA
658,KR6543333530,nonpositive_annual_coupon
660,KR6573375534,missing_explicit_survival_coupon
662,KR65933A6530,missing_explicit_survival_coupon
664,KR6523386532,missing_explicit_survival_coupon
665,KR6703375537,payment_lag_not_identifiable_from_maturity
667,KR65333AP537,missing_explicit_survival_coupon
669,KR65133AD537,extra_formula_or_level_PMT_EXTRA
670,KR6543334538,nonpositive_annual_coupon
671,KR65933B6539,missing_explicit_survival_coupon
678,KR65233AD535,missing_explicit_survival_coupon
679,KR6503347538,unsupported_ki_window
680,KR6543336533,nonpositive_annual_coupon
681,KR6583351533,payment_lag_not_identifiable_from_maturity
682,KR6583357530,payment_lag_not_identifiable_from_maturity
683,KR6543332532,nonpositive_annual_coupon
685,KR6503352538,unsupported_ki_window
687,KR6573387539,missing_explicit_survival_coupon
688,KR65333B3532,missing_explicit_survival_coupon
689,KR6533359537,extra_formula_or_level_PMT_1_FRML
690,KR6543335535,nonpositive_annual_coupon
693,KR65133AB531,extra_formula_or_level_PMT_EXTRA
697,KR65333B2534,payment_lag_not_identifiable_from_maturity
699,KR65333B1536,payment_lag_not_identifiable_from_maturity
703,KR6663330530,unsupported_ki_window
704,KR6663331538,unsupported_ki_window
707,KR6723332534,missing_explicit_survival_coupon
712,KR6593359534,missing_explicit_survival_coupon
714,KR6593364534,missing_explicit_survival_coupon
716,KR6593362538,missing_explicit_survival_coupon
717,KR6593363536,missing_explicit_survival_coupon
719,KR65133A4533,extra_formula_or_level_PMT_EXTRA
720,KR6503375539,unsupported_ki_window
721,KR6593360532,monthly_evaluation_outside_life
722,KR6513352536,unsupported_ki_window
723,KR6513354532,unsupported_ki_window
725,KR6513353534,unsupported_ki_window
730,KR6703352536,missing_explicit_survival_coupon
731,KR6703349532,payment_lag_not_identifiable_from_maturity
732,KR65733A2531,missing_explicit_survival_coupon
733,KR6593358536,missing_explicit_survival_coupon
735,KR6593361530,missing_explicit_survival_coupon
738,KR65233AM536,missing_explicit_survival_coupon
742,KR6503380539,unsupported_ki_window
746,KR65233AT531,second_maturity_payment_without_ki
756,KR6653347536,missing_explicit_survival_coupon
758,KR65233CQ533,missing_explicit_survival_coupon
762,KR65233B4531,missing_explicit_survival_coupon
767,KR65333AG536,extra_formula_or_level_PMT_1_FRML
769,KR65733B2530,unsupported_PRCP_GRTE_RT
774,KR67033AC539,payment_lag_not_identifiable_from_maturity
775,20150316000582_1531,unsupported_ki_window
776,KR65133AM538,unsupported_redemption_structure
777,KR65833AJ539,payment_lag_not_identifiable_from_maturity
778,KR6543344537,nonpositive_annual_coupon
779,KR6543345534,nonpositive_annual_coupon
783,KR6543355533,nonpositive_annual_coupon
786,KR65133AL530,unsupported_redemption_structure
788,KR6793307531,missing_explicit_survival_coupon
791,KR6583399532,payment_lag_not_identifiable_from_maturity
792,KR6583398534,payment_lag_not_identifiable_from_maturity
794,KR65933AK535,missing_explicit_survival_coupon
796,KR65933AL533,missing_explicit_survival_coupon
798,KR65933AP534,missing_explicit_survival_coupon
802,KR65833A0534,payment_lag_not_identifiable_from_maturity
803,KR65833A1532,payment_lag_not_identifiable_from_maturity
805,KR65933AR530,missing_explicit_survival_coupon
806,KR6583397536,payment_lag_not_identifiable_from_maturity
808,KR65933AJ537,missing_explicit_survival_coupon
813,KR65933AT536,missing_explicit_survival_coupon
814,KR65933AS538,missing_explicit_survival_coupon
815,KR65933AN539,missing_explicit_survival_coupon
817,KR6663346536,unsupported_ki_window
819,KR6723358539,missing_explicit_survival_coupon
820,KR65033BH538,unsupported_ki_window
825,KR65033C0530,unsupported_ki_window
826,KR6543371530,nonpositive_annual_coupon
828,KR65233CH532,missing_explicit_survival_coupon
829,KR67033AL530,payment_lag_not_identifiable_from_maturity
830,KR67033AK532,payment_lag_not_identifiable_from_maturity
831,KR65033BB531,unsupported_ki_window
835,KR6543370532,nonpositive_annual_coupon
836,KR65733C2539,missing_explicit_survival_coupon
838,KR65933D0530,missing_explicit_survival_coupon
841,KR65933D1538,missing_explicit_survival_coupon
844,KR6543382537,nonpositive_annual_coupon
845,KR65933CZ539,missing_explicit_survival_coupon
847,KR65733C0533,unsupported_PRCP_GRTE_RT
850,KR67033B5536,payment_lag_not_identifiable_from_maturity
851,KR65733AL537,missing_explicit_survival_coupon
859,KR65933C9532,missing_explicit_survival_coupon
863,KR65933CC538,missing_explicit_survival_coupon
864,KR65933CA532,missing_explicit_survival_coupon
865,KR6543387536,nonpositive_annual_coupon
866,KR65933CD536,missing_explicit_survival_coupon
868,KR65933CE534,missing_explicit_survival_coupon
869,KR65933C8534,missing_explicit_survival_coupon
870,KR65933CB530,missing_explicit_survival_coupon
871,KR65933DA530,missing_explicit_survival_coupon
873,KR65833CD538,payment_lag_not_identifiable_from_maturity
874,KR65833CB532,payment_lag_not_identifiable_from_maturity
875,KR65833C9533,payment_lag_not_identifiable_from_maturity
877,KR65833CA534,payment_lag_not_identifiable_from_maturity
878,KR65833CF533,missing_explicit_survival_coupon
880,KR65333C0537,extra_formula_or_level_PMT_1_FRML
883,KR65333BZ534,extra_formula_or_level_PMT_1_FRML
889,KR6543375531,nonpositive_annual_coupon
890,KR6543374534,nonpositive_annual_coupon
892,KR65033CQ537,unsupported_ki_window
895,KR65033D0539,unsupported_ki_window
896,KR65033CR535,unsupported_ki_window
897,KR65033CC537,unsupported_ki_window
900,KR65333D4538,missing_explicit_survival_coupon
901,KR65333D5535,payment_lag_not_identifiable_from_maturity
905,KR6723378537,missing_explicit_survival_coupon
910,KR65833CV530,payment_lag_not_identifiable_from_maturity
927,KR65733DH539,missing_explicit_survival_coupon
931,KR65033E2534,unsupported_ki_window
932,KR6663357533,unsupported_ki_window
933,KR65333DT533,missing_explicit_survival_coupon
934,KR65133D2534,unsupported_ki_window
935,KR6543390530,nonpositive_annual_coupon
937,KR65133D3532,unsupported_ki_window
940,KR65833CZ531,payment_lag_not_identifiable_from_maturity
941,KR65133D5537,unsupported_ki_window
942,KR65133D4530,unsupported_ki_window
943,KR65733DP532,unsupported_PRCP_GRTE_RT
944,KR65133F0536,extra_formula_or_level_PMT_EXTRA
946,KR6543310546,nonpositive_annual_coupon
947,KR6543309548,nonpositive_annual_coupon
948,KR6543302543,nonpositive_annual_coupon
949,KR6543314548,nonpositive_annual_coupon
950,KR6543319547,nonpositive_annual_coupon
951,KR6543315545,nonpositive_annual_coupon
952,KR6543303541,nonpositive_annual_coupon
953,KR6543320545,nonpositive_annual_coupon
954,KR6703304545,payment_lag_not_identifiable_from_maturity
955,KR6703305542,payment_lag_not_identifiable_from_maturity
959,KR6703306540,payment_lag_not_identifiable_from_maturity
962,KR6553345549,missing_explicit_survival_coupon
966,KR6593338546,missing_explicit_survival_coupon
968,KR6543331542,nonpositive_annual_coupon
972,KR6593339544,missing_explicit_survival_coupon
973,KR6593337548,missing_explicit_survival_coupon
975,KR6523311548,second_maturity_payment_without_ki
976,KR6583310547,payment_lag_not_identifiable_from_maturity
978,KR6593348545,missing_explicit_survival_coupon
980,KR6583309549,payment_lag_not_identifiable_from_maturity
981,KR6583306545,payment_lag_not_identifiable_from_maturity
982,KR6703309544,payment_lag_not_identifiable_from_maturity
984,KR6513352544,extra_formula_or_level_PMT_EXTRA
985,KR6583305547,payment_lag_not_identifiable_from_maturity
986,KR6583304540,payment_lag_not_identifiable_from_maturity
988,KR6583308541,payment_lag_not_identifiable_from_maturity
989,KR6583307543,payment_lag_not_identifiable_from_maturity
991,KR6583303542,payment_lag_not_identifiable_from_maturity
992,KR6533340545,payment_lag_not_identifiable_from_maturity
996,KR6523330548,second_maturity_payment_without_ki
999,KR6533311546,extra_formula_or_level_PMT_1_FRML
1002,KR6583301546,payment_lag_not_identifiable_from_maturity
1003,KR6583345543,payment_lag_not_identifiable_from_maturity
1004,KR6703356545,payment_lag_not_identifiable_from_maturity
1006,KR6583321544,payment_lag_not_identifiable_from_maturity
1007,KR6583322542,payment_lag_not_identifiable_from_maturity
1008,KR6583326543,missing_explicit_survival_coupon
1010,KR6543330544,nonpositive_annual_coupon
1011,KR6543329546,nonpositive_annual_coupon
1012,KR6533361541,missing_explicit_survival_coupon
1015,KR6573332543,missing_explicit_survival_coupon
1020,KR6523332544,missing_explicit_survival_coupon
1023,KR6593360540,monthly_evaluation_outside_life
1024,KR6503322549,unsupported_ki_window
1025,KR6503321541,unsupported_ki_window
1028,KR6513309544,unsupported_ki_window
1034,KR6593324546,missing_explicit_survival_coupon
1036,KR6593325543,missing_explicit_survival_coupon
1039,KR6513382541,extra_formula_or_level_PMT_EXTRA
1040,KR6593328547,missing_explicit_survival_coupon
1044,KR6543341541,nonpositive_annual_coupon
1047,KR6513307548,unsupported_ki_window
1049,KR6593326541,missing_explicit_survival_coupon
1053,KR6593330543,missing_explicit_survival_coupon
1055,KR6593368543,missing_explicit_survival_coupon
1056,KR6703338543,payment_lag_not_identifiable_from_maturity
1057,KR6503355549,unsupported_ki_window
1058,KR6723317543,missing_explicit_survival_coupon
1064,KR6513308546,unsupported_ki_window
1065,KR6593331541,missing_explicit_survival_coupon
1066,KR6593329545,missing_explicit_survival_coupon
1069,20150406002010_3342,unsupported_ki_window
1072,KR6703375545,missing_explicit_survival_coupon
1076,KR6593374541,missing_explicit_survival_coupon
1077,KR6703376543,payment_lag_not_identifiable_from_maturity
1078,KR6533371540,missing_explicit_survival_coupon
1079,KR6543344545,nonpositive_annual_coupon
1082,KR6573313543,missing_explicit_survival_coupon
1091,KR6503323547,unsupported_ki_window
1093,KR6523385542,missing_explicit_survival_coupon
1096,KR65833A8545,payment_lag_not_identifiable_from_maturity
1100,KR6543362547,nonpositive_annual_coupon
1101,KR6583396546,missing_explicit_survival_coupon
1102,KR6733305546,payment_lag_not_identifiable_from_maturity
1104,KR6573390541,missing_explicit_survival_coupon
1107,KR6533338549,extra_formula_or_level_PMT_1_FRML
1108,KR6583390549,payment_lag_not_identifiable_from_maturity
1109,KR6533339547,extra_formula_or_level_PMT_1_FRML
1110,KR6583392545,payment_lag_not_identifiable_from_maturity
1112,KR6583391547,payment_lag_not_identifiable_from_maturity
1113,KR6543355541,nonpositive_annual_coupon
1115,KR65833AA546,payment_lag_not_identifiable_from_maturity
1117,KR6543354544,nonpositive_annual_coupon
1121,KR67033A7541,payment_lag_not_identifiable_from_maturity
1122,KR6583393543,invalid_evaluation_dates
1123,KR6543353546,nonpositive_annual_coupon
1126,KR6503394548,unsupported_ki_window
1128,KR6513374548,unsupported_ki_window
1129,KR6593372545,missing_explicit_survival_coupon
1134,KR65833AG543,payment_lag_not_identifiable_from_maturity
1140,KR6543360541,nonpositive_annual_coupon
1149,KR6673313542,unsupported_ki_window
1150,KR6513375545,unsupported_ki_window
1151,KR65033AW547,unsupported_ki_window
1153,KR6593382544,missing_explicit_survival_coupon
1156,KR6723331544,missing_explicit_survival_coupon
1157,20150413002144_3347,unsupported_ki_window
1159,KR65833AS548,payment_lag_not_identifiable_from_maturity
1160,KR6593385547,missing_explicit_survival_coupon
1167,KR6593370549,missing_explicit_survival_coupon
1168,KR6593371547,missing_explicit_survival_coupon
1169,KR6593380548,missing_explicit_survival_coupon
1170,KR6593381546,missing_explicit_survival_coupon
1172,KR6703386542,payment_lag_not_identifiable_from_maturity
1173,KR65033BZ548,unsupported_redemption_structure
1179,KR65233CJ546,missing_explicit_survival_coupon
1183,KR6543363545,nonpositive_annual_coupon
1184,KR65233AZ546,missing_explicit_survival_coupon
1187,KR65033B7544,unsupported_ki_window
1189,KR65933BK541,missing_explicit_survival_coupon
1191,KR6543376547,nonpositive_annual_coupon
1194,KR67033B5544,payment_lag_not_identifiable_from_maturity
1198,KR67033B6542,payment_lag_not_identifiable_from_maturity
1199,KR67033B7540,payment_lag_not_identifiable_from_maturity
1203,KR6533381549,extra_formula_or_level_PMT_1_FRML
1205,KR65833AK545,payment_lag_not_identifiable_from_maturity
1206,KR65033C8541,unsupported_ki_window
1207,KR6543373544,nonpositive_annual_coupon
1208,KR65833AJ547,payment_lag_not_identifiable_from_maturity
1211,KR6733308540,payment_lag_not_identifiable_from_maturity
1212,KR65833BG541,payment_lag_not_identifiable_from_maturity
1213,KR65733BQ542,missing_explicit_survival_coupon
1216,KR67033BK548,payment_lag_not_identifiable_from_maturity
1217,KR65833AL543,invalid_evaluation_dates
1218,KR65833AM541,payment_lag_not_identifiable_from_maturity
1222,KR6543372546,nonpositive_annual_coupon
1224,KR6543384541,nonpositive_annual_coupon
1225,KR6543371548,nonpositive_annual_coupon
1226,KR6533382547,extra_formula_or_level_PMT_1_FRML
1228,KR67033BJ540,payment_lag_not_identifiable_from_maturity
1231,KR65033EQ541,unsupported_ki_window
1236,KR6673323541,unsupported_ki_window
1239,KR65933AJ545,missing_explicit_survival_coupon
1240,KR65933AP542,missing_explicit_survival_coupon
1244,KR65933AM549,missing_explicit_survival_coupon
1245,KR65933AL541,missing_explicit_survival_coupon
1246,KR65033D4549,unsupported_ki_window
1247,KR65933AN547,missing_explicit_survival_coupon
1251,KR65133AX543,unsupported_ki_window
1266,KR65133AV547,unsupported_ki_window
1274,KR65933AQ540,missing_explicit_survival_coupon
1277,KR65133AW545,unsupported_ki_window
1278,KR65033C9549,unsupported_ki_window
1286,KR65233DA543,missing_explicit_survival_coupon
1289,KR67033C7549,payment_lag_not_identifiable_from_maturity
1290,KR65733CY544,missing_explicit_survival_coupon
1299,KR67033C9545,payment_lag_not_identifiable_from_maturity
1300,KR65333B6543,missing_explicit_survival_coupon
1301,KR67033C8547,payment_lag_not_identifiable_from_maturity
1308,KR67013CY549,payment_lag_not_identifiable_from_maturity
1309,KR65033F9546,unsupported_ki_window
1310,KR65833BS546,payment_lag_not_identifiable_from_maturity
1311,KR65033EE547,unsupported_ki_window
1312,KR6533305555,missing_explicit_survival_coupon
1315,KR65233DW547,missing_explicit_survival_coupon
1318,KR6543392544,nonpositive_annual_coupon
1319,KR6543398541,nonpositive_annual_coupon
1320,KR6543394540,nonpositive_annual_coupon
1321,KR6543393542,nonpositive_annual_coupon
1323,KR65833BW548,missing_explicit_survival_coupon
1326,KR65833BR548,payment_lag_not_identifiable_from_maturity
1331,KR65833AQ542,payment_lag_not_identifiable_from_maturity
1332,KR67033CX549,payment_lag_not_identifiable_from_maturity
1333,KR65333BC541,missing_explicit_survival_coupon
1334,KR67033CZ544,payment_lag_not_identifiable_from_maturity
1335,KR6533311553,extra_formula_or_level_PMT_1_FRML
1339,KR6593306550,missing_explicit_survival_coupon
1340,KR6593305552,missing_explicit_survival_coupon
1341,KR6513303554,unsupported_ki_window
1345,KR6593303557,missing_explicit_survival_coupon
1346,KR6593302559,missing_explicit_survival_coupon
1352,KR6533333557,payment_lag_not_identifiable_from_maturity
1357,KR6573315555,missing_explicit_survival_coupon
1358,KR6593308556,monthly_evaluation_outside_life
1360,KR6533347557,missing_explicit_survival_coupon
1368,KR6513302556,unsupported_ki_window
1371,KR6513311557,unsupported_ki_window
1372,KR6593309554,extra_formula_or_level_PMT_EXTRA
1373,KR6513338550,payment_lag_not_identifiable_from_maturity
1374,KR6513304552,unsupported_ki_window
