payoff,model,variant,seed,fold,n,R2,MAE,RMSE,MAPE
legacy,xgb,A,3,3,5085,0.8169898769226474,70.77853919370698,120.66907822821305,0.7248827918767181
legacy,xgb,A,4,0,4457,0.9361586227137663,37.10097309849675,47.93273568658024,0.3737767087991241
legacy,xgb,A,4,1,5051,0.8574430644178627,74.7923312215403,113.34626196953212,0.7796517897254958
legacy,xgb,A,4,2,5066,0.783836210374128,53.39213484011054,66.08648426411092,0.533219109182992
legacy,xgb,A,4,3,5085,0.8047116866663346,72.22892766961654,124.65122933346166,0.7399896184812959
legacy,xgb,B,0,0,4457,0.939754869225358,42.9079615212026,57.959051889849064,0.4379823740126713
legacy,xgb,B,0,1,5051,0.8351906780105273,105.26643432983568,149.75097798081643,1.111210723437954
legacy,xgb,B,0,2,5066,0.8708936200604362,41.86807749703909,60.603454791205955,0.42175573219495976
legacy,xgb,B,0,3,5085,0.8407784889359704,98.4386607079646,150.45783853945522,1.0249621535062707
legacy,xgb,B,1,0,4457,0.9315655438232601,46.50390296163337,61.772859714040976,0.4742872922505529
legacy,xgb,B,1,1,5051,0.8466145362578158,103.26111389823798,144.46774130111592,1.0888747487192498
legacy,xgb,B,1,2,5066,0.8745419584556952,41.08718825503357,59.741040499586774,0.4141055401298883
legacy,xgb,B,1,3,5085,0.8526120403445073,96.07159638151425,144.75879233430987,0.9999749476797671
legacy,xgb,B,2,0,4457,0.9328775464159773,45.18415052726049,61.17784973713981,0.4609085771647479
legacy,xgb,B,2,1,5051,0.8202579048010383,111.91999168481489,156.38809191399056,1.1801059429066845
legacy,xgb,B,2,2,5066,0.8745700742427769,41.35590448085273,59.73434598853731,0.416625217693653
legacy,xgb,B,2,3,5085,0.8439135155720647,97.04399647984268,148.96923838322792,1.0105705627776842
legacy,xgb,B,3,0,4457,0.9349373776476306,44.25997428763743,60.23183280669053,0.45182352555104244
legacy,xgb,B,3,1,5051,0.8486349291073838,103.91292807364879,143.51312300462897,1.0936070072387798
legacy,xgb,B,3,2,5066,0.8619808137713464,44.40480896170549,62.660414255450746,0.44709772836228606
legacy,xgb,B,3,3,5085,0.8370686994736294,96.73902385447396,152.20054583638145,1.008596416669086
legacy,xgb,B,4,0,4457,0.9391708077233637,43.091809378505715,58.23932350644329,0.4401393675275961
legacy,xgb,B,4,1,5051,0.8335287153770659,107.44228903187488,150.50413997767495,1.1325657847422552
legacy,xgb,B,4,2,5066,0.8593406673809385,43.90797903671536,63.25688571311176,0.4423533477860601
legacy,xgb,B,4,3,5085,0.8336317459024223,99.59028245821041,153.7974650924801,1.0384298816795166
corrected,deeponet,A,0,0,4457,0.9373244890058299,31.959926183531525,48.61255996004587,0.3219781496859272
corrected,deeponet,A,0,1,5051,0.8681657053310246,68.1494799643635,101.74603393381207,0.7025785134050542
corrected,deeponet,A,0,2,5066,0.893815506753321,31.468731701539667,44.627791967050555,0.313515901112278
corrected,deeponet,A,0,3,5085,0.8918670611676311,55.7995718190757,91.12132275672522,0.5662936574071553
corrected,deeponet,A,1,0,4457,0.9302857893870636,33.79064155261387,51.2696328225628,0.3412987202402126
corrected,deeponet,A,1,1,5051,0.6284716867356853,130.87651603642843,170.80447599159734,1.3401254245786616
corrected,deeponet,A,1,2,5066,0.8693553803139701,34.542505981050134,49.501757127376635,0.3441309555560428
corrected,deeponet,A,1,3,5085,0.8959590271438104,54.71947195673549,89.38058948047777,0.5562912066944239
corrected,deeponet,A,2,0,4457,0.9451437219814137,28.766197442225707,45.479189760264624,0.29076668469070316
corrected,deeponet,A,2,1,5051,0.8974393397654148,55.613456998614126,89.7415762559249,0.574222333566818
corrected,deeponet,A,2,2,5066,0.9154965647117601,27.769782372680616,39.81182009015471,0.27690809842466246
corrected,deeponet,A,2,3,5085,0.8290908770973953,69.94391882005901,114.55752838727544,0.7107687731128518
corrected,deeponet,A,3,0,4457,0.9418087013227424,30.111323939869873,46.84126065859589,0.3036565852705281
corrected,deeponet,A,3,1,5051,0.9072329821169901,56.198443476539296,85.34932432426287,0.5804893830468603
corrected,deeponet,A,3,2,5066,0.8471788204384085,40.29703671535727,53.53855239380368,0.40136334654862954
corrected,deeponet,A,3,3,5085,0.8529067824533123,64.61866194690265,106.2765227380443,0.6571399125402346
corrected,deeponet,A,4,0,4457,0.9327278266571841,34.69928380076285,50.363659533557176,0.34920149389881516
corrected,deeponet,A,4,1,5051,0.7060774497371035,111.6458146703623,151.9216760386078,1.1515476006000092
corrected,deeponet,A,4,2,5066,0.7568347999717339,44.38878513620213,67.53448021144088,0.44138462179761395
corrected,deeponet,A,4,3,5085,0.9023108928660627,54.62107396263521,86.60921103938665,0.5559374609740946
corrected,deeponet,B,0,0,4457,0.9220249772058894,49.9109073367736,67.5720631544616,0.507142443681923
corrected,deeponet,B,0,1,5051,0.8444444837720966,109.33384104137797,137.66298209734674,1.1323221891011581
corrected,deeponet,B,0,2,5066,0.9022039548188905,35.41918645874458,51.817076237024324,0.35504394584253873
corrected,deeponet,B,0,3,5085,0.9398503732772359,59.377205998033425,92.43779460454155,0.6135461219038795
corrected,deeponet,B,1,0,4457,0.9429444225431501,40.789856944132815,57.801415859685505,0.4160402145022893
corrected,deeponet,B,1,1,5051,0.8175672746658201,111.28356667986537,149.08221542765529,1.157592785069391
corrected,deeponet,B,1,2,5066,0.8133768777197495,56.41975329648639,71.58054219635153,0.5642680825952598
corrected,deeponet,B,1,3,5085,0.910844094662592,71.34701968534907,112.54032484760702,0.7393202170373089
corrected,deeponet,B,2,0,4457,0.9401935600224057,40.999895445366825,59.17842464040064,0.4175476457222182
corrected,deeponet,B,2,1,5051,0.8001725757999594,122.61109079390219,156.02780902016931,1.2686488885784168
corrected,deeponet,B,2,2,5066,0.9130381655818153,33.21815759968416,48.86260361224085,0.33280617099957405
corrected,deeponet,B,2,3,5085,0.9022113524320095,77.54372973451326,117.86295548762727,0.7994754435648309
corrected,deeponet,B,3,0,4457,0.9382172011273979,43.2163429661207,60.14828009653681,0.4387446473671907
corrected,deeponet,B,3,1,5051,0.8099553200740722,122.2635350029697,152.16063892094806,1.2683485948100042
corrected,deeponet,B,3,2,5066,0.8992834240425963,34.43353132649033,52.585103676862204,0.34593021905857585
corrected,deeponet,B,3,3,5085,0.8749285874513767,81.83511681415928,133.29447073937405,0.8446897308728761
corrected,deeponet,B,4,0,4457,0.9353176578147302,43.49664179941664,61.54351442539611,0.4431758584254466
corrected,deeponet,B,4,1,5051,0.7896885764077486,128.3789607206494,160.06850784599925,1.3291232757754863
corrected,deeponet,B,4,2,5066,0.9030960750099051,33.29619267666799,51.5801905470161,0.3343434016088998
corrected,deeponet,B,4,3,5085,0.9189751768398158,67.56653901671584,107.28577755810831,0.7008619351508376
corrected,xgb,A,0,0,4457,0.8492717847851436,58.945612048463104,75.38706377098528,0.5903236234402423
corrected,xgb,A,0,1,5051,0.7426315142047206,93.4188252623243,142.16116476793377,0.9684971731275971
corrected,xgb,A,0,2,5066,0.7710217615202455,49.58226383734702,65.53479655883784,0.49423323731317337
corrected,xgb,A,0,3,5085,0.7858125321679352,80.78420171091443,128.24429091295892,0.8201790304164357
corrected,xgb,A,1,0,4457,0.8270048874700453,63.58183145613644,80.7637483470617,0.636888425073997
corrected,xgb,A,1,1,5051,0.7534553349012724,92.25954141754109,139.13971008247847,0.955788071697463
corrected,xgb,A,1,2,5066,0.7606700202275425,51.326798203711014,66.99978400401422,0.5115172238644654
corrected,xgb,A,1,3,5085,0.7849352403033604,80.70448595870208,128.50666084602736,0.8192530385070926
corrected,xgb,A,2,0,4457,0.8528950339220818,58.80294960735921,74.47546392282905,0.5889053464748208
corrected,xgb,A,2,1,5051,0.7612220547043891,89.12910722629182,136.93056330835813,0.9232890651717455
corrected,xgb,A,2,2,5066,0.7631028595268254,50.08116849585472,66.65838077049474,0.4991957292924457
corrected,xgb,A,2,3,5085,0.7875467555578088,79.74894348082594,127.72405443240186,0.8096498918353406
corrected,xgb,A,3,0,4457,0.8412003043959102,60.57642645277094,77.37922628688722,0.6065527332360116
corrected,xgb,A,3,1,5051,0.7845084264084096,86.98598667590575,130.08236845331336,0.8995597656337956
corrected,xgb,A,3,2,5066,0.7792168623807865,48.136606257402285,64.35137056873313,0.48003439049413754
corrected,xgb,A,3,3,5085,0.7855769786515203,79.92262428711896,128.31479011887424,0.8116045682841313
corrected,xgb,A,4,0,4457,0.8266554875334735,64.49336627776532,80.8452668767944,0.6459578768500047
corrected,xgb,A,4,1,5051,0.7437811476578318,92.86620724608989,141.8433011645922,0.962850736020237
corrected,xgb,A,4,2,5066,0.7634542076468003,49.71244097907619,66.60893106635068,0.49533920774698414
corrected,xgb,A,4,3,5085,0.7966741177215577,77.92976564405113,124.95031205099767,0.7910062491488753
corrected,xgb,B,0,0,4457,0.8729372124190875,61.86804509759929,86.25784692548228,0.6270226244314497
corrected,xgb,B,0,1,5051,0.7510601954111227,124.09639534745597,174.14926147901494,1.2983828165216704
corrected,xgb,B,0,2,5066,0.820356905343091,50.866548440584296,70.22916779246795,0.5091675853583157
corrected,xgb,B,0,3,5085,0.8209633219551526,112.35485905604723,159.47922361662972,1.1543109669264313
corrected,xgb,B,1,0,4457,0.886022114660994,59.057780749382985,81.69579844615517,0.5986833084928087
corrected,xgb,B,1,1,5051,0.7517056050354622,124.28378790338546,173.9233623793235,1.3011276337528392
corrected,xgb,B,1,2,5066,0.8087542548217214,51.5614473351757,72.46163832974027,0.5163243362718023
corrected,xgb,B,1,3,5085,0.8332396010146012,106.65026961651918,153.9145120945156,1.097293990228199
corrected,xgb,B,2,0,4457,0.8856860679111419,58.679606753421574,81.81614372859691,0.5948460757977957
corrected,xgb,B,2,1,5051,0.7055828961177949,133.13401742229263,189.3895373273033,1.3984294640635961
corrected,xgb,B,2,2,5066,0.8043592261741093,53.07122400315833,73.28953126774195,0.530716028039121
corrected,xgb,B,2,3,5085,0.8246099264311902,108.96111516224187,157.8467383521885,1.1222600141614538
corrected,xgb,B,3,0,4457,0.8777591178060362,61.18542950415077,84.6053179377986,0.6203860214245195
corrected,xgb,B,3,1,5051,0.7566293694841134,122.27743761631362,172.19024681699216,1.2818075319724163
corrected,xgb,B,3,2,5066,0.8134581563271621,51.30050519147257,71.56495302305242,0.5131052220672401
corrected,xgb,B,3,3,5085,0.8355547313816801,106.60211402163227,152.84238237830476,1.09664387800971
corrected,xgb,B,4,0,4457,0.8838126030688741,58.663199955126764,82.48385213371154,0.5946052489379311
corrected,xgb,B,4,1,5051,0.7275355646888689,129.27002470797862,182.19203046255058,1.3552349755709534
corrected,xgb,B,4,2,5066,0.8122041240924985,51.96013146466642,71.80509870083426,0.5200451818312347
corrected,xgb,B,4,3,5085,0.826555556412009,109.58082804326452,156.96878726271524,1.1269602656441047
