payoff,model,monthly,axis,h,contracts,mean_MC_delta,delta_MAE,delta_RMSE,resolved_rows,direction_agreement
corrected,xgb,True,ki_barrier,0.01,1,-27.167382647038608,27.167382647038608,27.167382647038608,5,0.0
corrected,xgb,True,ki_barrier,0.025,1,-67.53519785491764,40.72889077575863,43.079679064224344,5,1.0
corrected,xgb,True,ki_barrier,0.05,1,-127.37819970806042,13.192597501518728,15.521868928053234,5,1.0
corrected,xgb,True,last_strike,-0.05,33,94.24343331432198,76.97345844876939,96.96996424090676,165,0.5515151515151515
corrected,xgb,True,last_strike,-0.025,33,46.83745888608692,36.23148517486821,47.56462742761805,165,0.5393939393939394
corrected,xgb,True,last_strike,-0.01,33,18.492174848538358,20.483998375219006,25.519577706522597,165,0.24848484848484848
corrected,xgb,True,last_strike,-0.005,33,9.222382831971835,14.522466278642737,22.254170372360047,165,0.24848484848484848
corrected,xgb,True,last_strike,0.005,33,-8.945134604454363,8.945134604454363,10.437390872527025,165,0.0
corrected,xgb,True,last_strike,0.01,33,-17.973568415022175,18.37256955537352,21.34986560541875,165,0.15151515151515152
corrected,xgb,True,last_strike,0.025,33,-43.749495764198855,37.11293340323657,47.13353762635016,165,0.4121212121212121
corrected,xgb,True,last_strike,0.05,33,-84.27902501685017,79.17296636392116,91.3494504090864,165,0.5272727272727272
legacy,deeponet,False,coupon_regular,-0.01,64,-69.61215837841334,22.321647656010093,30.010147800136632,320,0.996875
legacy,deeponet,False,coupon_regular,-0.005,64,-34.806079189206734,11.45796469365994,15.293229231077879,320,0.996875
legacy,deeponet,False,coupon_regular,-0.0025,64,-17.40303959460337,5.805734854776658,7.7220097125493625,320,0.99375
legacy,deeponet,False,coupon_regular,-0.001,64,-6.9612158378413,2.341270161729306,3.106913587300103,320,0.99375
legacy,deeponet,False,coupon_regular,0.001,64,6.96121583784133,2.3661877562368763,3.130834445017125,320,0.99375
legacy,deeponet,False,coupon_regular,0.0025,64,17.403039594603307,5.962146404617191,7.871053165984343,320,0.99375
legacy,deeponet,False,coupon_regular,0.005,64,34.80607918920674,12.081615172738335,15.882970178416436,320,0.99375
legacy,deeponet,False,coupon_regular,0.01,64,69.61215837841357,24.726663935285057,32.276151510810315,320,0.996875
