item,date,NS_3Y,Bootstrap_3Y,IRS_3Y,CD91
KR65233CS737,2017-03-23,2.747846132334997,1.6255208488673467,1.6275,1.49
KR6503386742,2017-04-18,2.501618453089806,1.5781818403712982,1.58,1.48
KR6543352753,2017-05-23,2.3428880202147333,1.5983790804201992,1.6,1.43
KR6573380765,2017-06-14,2.2232769128384904,1.5932512017868241,1.5950000000000002,1.39
KR6533351773,2017-07-06,2.3010491480591817,1.6884976743633922,1.69,1.38
KR65733DB771,2017-07-26,2.3010491480591817,1.6609146312740235,1.6625,1.38
KR65733AC783,2017-08-25,2.353693588158544,1.7384382374348275,1.74,1.39
KR6543329793,2017-09-12,2.2268214260469303,1.6884906482222541,1.69,1.39
KR65333FQ799,2017-09-28,2.2268214260469303,1.8383944068558704,1.8399999999999999,1.39
KR65333CR7A1,2017-10-23,2.327730736295301,2.0380686218859005,2.04,1.38
KR65333817B6,2017-11-06,2.6033232410917915,2.045868172240945,2.0475,1.38
KR67033957B9,2017-11-29,2.6033232410917915,2.0054611706697565,2.0075,1.38
KR65733AY7C6,2017-12-15,2.553039868152835,1.999827451325042,2.0025,1.45
KR6503352819,2018-01-05,2.6885843385942176,2.0702151717834254,2.0725,1.66
KR65833AW813,2018-01-24,2.6885843385942176,2.1129912178503156,2.115,1.66
KR6553328826,2018-02-08,2.6940149765408483,2.1108679063052067,2.1125,1.66
KR65033C4821,2018-02-26,2.6940149765408483,2.170989962209338,2.1725,1.66
KR6533391837,2018-03-14,2.671683469456978,2.1731916776723854,2.175,1.65
KR6543383832,2018-03-29,2.671683469456978,2.110562730842262,2.1125,1.65
KR6573397843,2018-04-16,2.732669521086087,2.0626734911787103,2.065,1.65
KR6533345858,2018-05-02,2.649294619600279,2.1254242312374645,2.1275,1.65
KR6703344855,2018-05-15,2.649294619600279,2.2104899834181877,2.2125,1.65
KR6503308860,2018-06-08,2.652953818354379,2.1330231951577927,2.135,1.65
KR65333D1864,2018-06-21,2.652953818354379,2.0723781785976105,2.075,1.65
KR6533386878,2018-07-06,2.6144139593547933,1.9850339300035535,1.9874999999999998,1.65
KR6523393876,2018-07-20,2.6144139593547933,2.0198400466896005,2.0225,1.65
KR6703309882,2018-08-06,2.5415991257603285,2.0397997017584455,2.0425,1.65
KR65533BY888,2018-08-28,2.5415991257603285,1.9041932429673638,1.9075,1.65
KR6703338899,2018-09-10,2.3299408085685043,1.8693437801847834,1.8725,1.65
KR6543324893,2018-09-21,2.3299408085685043,2.0120768233292274,2.0149999999999997,1.65
KR65533478A7,2018-10-12,2.5576092302062037,2.006810260592459,2.01,1.65
KR65533BK8A5,2018-10-25,2.5576092302062037,1.9890611348256255,1.9925,1.65
KR65833578B9,2018-11-08,2.6904914967636935,1.9291838794105742,1.9325,1.68
KR65793BS8B0,2018-11-28,2.6904914967636935,1.8663157755599808,1.87,1.68
KR65333AE8C2,2018-12-12,2.500066437355254,1.790399753227061,1.795,1.71
KR65333BJ8C6,2018-12-28,2.500066437355254,1.7727585616688042,1.7774999999999999,1.71
KR65333C7912,2019-01-17,2.39403778735237,1.745401294741192,1.75,1.91
KR6553309925,2019-02-01,2.352919286393073,1.752857244929467,1.7574999999999998,1.87
KR65793C0928,2019-02-22,2.352919286393073,1.775139528023435,1.7799999999999998,1.87
KR65333AX937,2019-03-08,2.479621055009574,1.7950641471800164,1.7999999999999998,1.87
KR65733BQ930,2019-03-21,2.479621055009574,1.800112919701492,1.8050000000000002,1.87
KR6613360942,2019-04-04,2.310862768159775,1.6754038941836351,1.6800000000000002,1.9
KR6573388941,2019-04-18,2.310862768159775,1.7377657823892583,1.7425000000000002,1.9
KR6513355943,2019-04-29,2.310862768159775,1.6680166569064705,1.6724999999999999,1.9
KR6503331953,2019-05-10,2.196019270306736,1.6704974359516238,1.6749999999999998,1.86
KR65433CH959,2019-05-24,2.196019270306736,1.580688999724138,1.585,1.86
KR6793301963,2019-06-05,1.8945979978005707,1.5008741889434136,1.505,1.84
KR6663316968,2019-06-17,1.8945979978005707,1.3936789321366292,1.3975,1.84
KR6653370967,2019-06-28,1.8945979978005707,1.4510857244186521,1.455,1.84
KR6703399974,2019-07-12,1.8175174267505034,1.3813302513756036,1.385,1.8
KR6523397976,2019-07-25,1.8175174267505034,1.2671004888855781,1.27,1.8
KR6533389989,2019-08-07,1.3249203105122072,1.0773314171535908,1.08,1.68
KR6613349986,2019-08-26,1.3249203105122072,1.087329372254648,1.0899999999999999,1.68
KR6543306999,2019-09-06,1.576853616554601,1.18723006193824,1.19,1.49
KR65093AK991,2019-09-23,1.576853616554601,1.232233912548559,1.2349999999999999,1.49
KR65033309A9,2019-10-04,1.9425591007949445,1.2247778217867207,1.2275,1.54
KR65733959A4,2019-10-16,1.9425591007949445,1.21729317765982,1.2200000000000002,1.54
KR65333GT9A1,2019-10-25,1.9425591007949445,1.2899326048869695,1.2925,1.54
KR65333A79B2,2019-11-08,2.5637533475272143,1.4547461523125684,1.4575,1.46
KR65033AN9B4,2019-11-25,2.5637533475272143,1.3546570247597338,1.3575,1.46
KR65233329C1,2019-12-06,2.5752514326925513,1.3423848640658758,1.3450000000000002,1.52
KR65333B89C7,2019-12-17,2.5752514326925513,1.3448899955326894,1.3475000000000001,1.52
KR65333HP9C0,2019-12-30,2.5752514326925513,1.3298227530017102,1.3325,1.52
KR6533355A12,2020-01-16,2.337753404549959,1.3649587722814107,1.3675000000000002,1.53
KR6523373A11,2020-01-29,2.337753404549959,1.3273036941629666,1.33,1.53
KR6503352A26,2020-02-10,2.1839052667437455,1.2603138098566828,1.2625000000000002,1.47
KR6523386A24,2020-02-20,2.1839052667437455,1.242696741617478,1.245,1.47
KR6513307A39,2020-03-04,2.322795931645306,1.0379206896840736,1.04,1.42
KR65833A5A37,2020-03-13,2.322795931645306,1.003199518629817,1.005,1.42
KR65093BGA33,2020-03-25,2.322795931645306,1.048661141268129,1.0499999999999998,1.42
KR6503374A46,2020-04-20,2.686880971580311,0.9438965720514306,0.9450000000000001,1.23
KR6573326A55,2020-05-13,2.4359236269768343,0.8117075543428477,0.8125,1.1
KR65333ACA61,2020-06-12,2.2480079991848574,0.8294210377260339,0.83,1.02
KR6663310A78,2020-07-13,2.2364820600447963,0.8520716003760321,0.8525,0.79
KR6503354A81,2020-08-13,1.6502916144704813,0.8096629726955841,0.81,0.79
KR6KB00002S5,2020-09-14,1.5439306328441962,0.9024217311993238,0.9025000000000001,0.68
KR6HN0000545,2020-10-08,1.4263380995363326,0.8674215844353744,0.8674999999999999,0.63
KR6SS00009H6,2020-10-29,1.4263380995363326,0.8550471298430806,0.855,0.63
KR6SY0000671,2020-11-19,1.6828213690241858,0.875046593336328,0.875,0.63
KR6MZ00007F1,2020-12-15,1.6261575445726029,0.9451899370692873,0.9450000000000001,0.66
KR6KS00009V5,2021-01-08,1.8192760027648427,0.932750869467888,0.9325,0.66
KR6SS0000QE0,2021-01-27,1.8192760027648427,1.0102686195536976,1.01,0.66
KR6YT00006K7,2021-02-09,2.0925176018695524,1.0153553466719218,1.0150000000000001,0.68
KR6MZ0000E36,2021-02-22,2.0925176018695524,1.0880692764097493,1.0875,0.68
KR6SH00012B6,2021-03-08,2.255625969871602,1.1632752509386006,1.1625,0.73
KR6SY0000H53,2021-03-19,2.255625969871602,1.2413415806560713,1.24,0.73
KR6ZY0000700,2021-04-06,2.2495880114510003,1.3166856702244072,1.315,0.75
KR6HN0000VW6,2021-04-16,2.2495880114510003,1.1912849936957923,1.19,0.75
KR6KB0001GE2,2021-04-30,2.2495880114510003,1.241515210930902,1.24,0.75
KR6KW0000AR5,2021-05-14,2.0033881861805343,1.2468112597074188,1.245,0.74
KR6SH0001H53,2021-06-10,1.7803169805709327,1.3214636987823052,1.3199999999999998,0.68
KR6SS0001K89,2021-06-24,1.7803169805709327,1.393885078839748,1.3925,0.68
KR6MZ0000TP8,2021-07-08,1.7938057858299197,1.4235009128797294,1.4224999999999999,0.66
KR6MZ0000W59,2021-07-21,1.7938057858299197,1.4254639639790738,1.4249999999999998,0.66
20210714000301_2983,2021-08-04,2.0196074813373386,1.4325852963098744,1.4325,0.69
KR6KB0002227,2021-08-17,2.0196074813373386,1.4103106305955786,1.4100000000000001,0.69
KR6SY00010R5,2021-09-06,2.210157459038485,1.4797635066484924,1.48,0.77
20210902000337_31306,2021-09-17,2.210157459038485,1.5768841087534218,1.5775000000000001,0.77
KR6KS0001LQ0,2021-10-07,2.916374905536623,1.8300237888507875,1.83,0.98
KR6DS0000B62,2021-10-19,2.916374905536623,1.921861695324395,1.9224999999999999,0.98
KR6MZ0001752,2021-11-01,3.094239045548333,2.149694085879567,2.15,1.08
KR6MZ0001851,2021-11-12,3.094239045548333,1.944423212867185,1.9449999999999998,1.08
20211119000386_27275,2021-12-09,2.6332691529372703,1.8379546405372464,1.8399999999999999,1.17
KR6SY0001984,2021-12-24,2.6332691529372703,1.8131344311853432,1.815,1.17
KR6SS0002VA4,2022-01-13,2.5956910012672165,2.001613290680312,2.0025,1.27
KR6MD0002HN1,2022-01-27,2.5956910012672165,2.161334009308923,2.1625,1.27
KR6HN0002129,2022-02-11,3.053687092805235,2.3134834869451795,2.315,1.39
KR6SH0002Z43,2022-02-25,3.053687092805235,2.2383516105765047,2.24,1.39
KR6KS0002809,2022-03-11,2.9874496786168736,2.3060547068461874,2.3075,1.5
KR6KB0003BZ4,2022-03-24,2.9874496786168736,2.493898273397286,2.495,1.5
KR6KS0002BG0,2022-04-08,3.574026955466115,2.9249704694103387,2.925,1.5
KR6YT0000T58,2022-04-22,3.574026955466115,3.004638417844045,3.005,1.5
KR6HM0000AM3,2022-05-09,3.380288557513892,3.2412669309780964,3.2424999999999997,1.64
KR6SH0003DL0,2022-05-31,3.380288557513892,3.015617182294419,3.02,1.64
KR6HN0002FZ8,2022-06-21,3.565235868949923,3.7363072805843065,3.7424999999999997,1.77
KR6SH0003JF9,2022-07-11,4.488230931172852,3.2658328661242764,3.275,1.99
KR6MD0003A33,2022-08-01,5.091618395694685,3.0076907674469004,3.02,2.41
KR6HH0000SZ7,2022-09-05,5.239294562205156,3.6947253826145263,3.71,2.79
KR6KS0002Z63,2022-09-20,5.239294562205156,3.7915310222184937,3.81,2.79
KR6SH0003WY3,2022-10-07,6.824600808574711,4.151326001281825,4.17,3.01
KR6SY0001YJ9,2022-10-24,6.824600808574711,4.539954815737887,4.5649999999999995,3.01
KR6KW0001BG4,2022-11-10,7.542378288484105,4.139750600069434,4.165,3.69
20221129000047_28547,2022-12-08,6.99044971544322,3.5329568617544096,3.5575,3.99
KR6HN00036V8,2023-01-04,5.785902637485741,3.592337068650774,3.615,4.02
KR6MD0004357,2023-01-30,5.785902637485741,3.2131604412251513,3.2350000000000003,4.02
KR6SH0004C55,2023-02-21,3.8751474776978343,3.613834231959946,3.635,3.8
KR6MD00047F3,2023-03-13,4.292351900154414,3.605104174313784,3.6275,3.52
KR6ZY0001PJ2,2023-04-04,3.5669316224832532,3.265667935210682,3.285,3.61
KR6KB0005006,2023-04-18,3.5669316224832532,3.1916295669823924,3.21,3.61
KR6YT0001D48,2023-05-03,3.8345414368002158,3.2424074878893516,3.2625,3.5
KR6SY0002DF9,2023-05-23,3.8345414368002158,3.2475700452521212,3.2675,3.5
KR6SH0004WD5,2023-06-12,4.436632374494839,3.42686248964039,3.4475,3.64
KR6SH0004Y75,2023-06-27,4.436632374494839,3.5142530195455017,3.535,3.64
KR6KW00020D4,2023-07-13,4.686057853687262,3.648563773862553,3.67,3.75
KR6HH00015F3,2023-08-01,4.406244391171975,3.618607766531492,3.6399999999999997,3.75
KR6SY0002NB7,2023-08-29,4.406244391171975,3.6696079535142623,3.69,3.75
KR6SS00054E9,2023-09-13,4.484697362350641,3.7944951389456407,3.815,3.7
KR6MD00053J3,2023-10-04,5.195953598550377,3.8122183867202684,3.8325,3.76
KR6HH0001891,2023-10-23,5.195953598550377,3.995720218658496,4.015000000000001,3.76
KR6ZY0002F96,2023-11-06,4.884590095342491,3.8999000259584964,3.92,3.82
KR6MD0005CV8,2023-11-30,4.884590095342491,3.524963245484505,3.545,3.82
KR6SS0005DZ2,2023-12-20,4.44524771032725,3.244838807221658,3.2649999999999997,3.83
KR6NH0003KM4,2024-01-15,4.68163266597765,3.1589582736414212,3.1775,3.83
KR6HN0004SF9,2024-02-05,4.028401355869982,3.1807334126689892,3.2,3.74
KR6ZY0002QK6,2024-03-08,4.2890461227049865,3.293859226184214,3.3125,3.69
KR6MD0005WC6,2024-04-23,3.7771167528631917,3.507717370956034,3.525,3.65
KR6MD0005YP4,2024-06-05,3.717472291766676,3.3756715349861044,3.3925,3.6
KR6KS0005AG5,2024-07-08,3.4951749914539874,3.1066212356130314,3.1225,3.6
KR6KW0003C06,2024-08-08,3.19542938842716,2.8926909229295434,2.9074999999999998,3.54
KR6SH0006TJ3,2024-09-13,3.300631380804967,2.822239653724429,2.8375,3.5
KR6KS0005NT1,2024-10-22,3.7367467760719064,2.891305430939759,2.9050000000000002,3.52
KR6SS0006E66,2024-11-29,3.9715471852615063,2.6730167035698362,2.685,3.43
KR6SH00076R7,2025-01-06,2.9090700265958107,2.581596516624873,2.5925000000000002,3.35
KR6SS0006KN1,2025-02-07,2.846720811977395,2.5773804109015366,2.5875,3.04
KR6SH0007C52,2025-03-07,3.168117967902577,2.5657214693094716,2.575,2.95
KR6MD0006VY0,2025-04-10,2.5943547428753306,2.3194234714064037,2.3275,2.84
KR6SY0003LF0,2025-05-02,2.4121494036036384,2.1997482803985062,2.2075,2.74
KR6SS0006Y70,2025-06-09,2.868160203515113,2.3528975073102947,2.3600000000000003,2.67
KR6SH0007TZ7,2025-07-07,2.668899191546806,2.4254603670486987,2.4325,2.57
KR6MD0007913,2025-07-31,2.668899191546806,2.3981935592462493,2.4050000000000002,2.57
KR6SH00082T1,2025-09-05,2.8002226480194077,2.4134391915926012,2.42,2.51
KR6SY0003Y34,2025-10-02,2.824080094243337,2.545566639306043,2.5525,2.56
20251016000265_3661,2025-10-31,2.824080094243337,2.69032465228425,2.6975,2.56
KR6MD0007NW9,2025-12-05,4.2706338937272115,3.020910109532895,3.0275,2.69
KR6MD0007S54,2025-12-30,4.2706338937272115,3.0061778907760237,3.0125,2.69
KR6KS0007PQ8,2026-02-03,4.036581283183139,3.2267536968816533,3.2325,2.7
KR6ZW00040V7,2026-03-06,4.32016028713134,3.2605314285439615,3.2675,2.78
KR6MD00088M3,2026-04-13,4.363439901679402,3.468735571532242,3.4775,2.82
20260422000383_13574,2026-05-12,4.405106745516472,3.656578983426517,3.665,2.82
