model,variant,seed,fold,n,R2,MAE,RMSE,MAPE
xgb,B,2,1,5879,0.8677369342087653,97.36086077564212,142.66987192860546,1.0265889629977136
xgb,B,2,2,5879,0.8487467535926488,52.04940464364688,76.81629765440172,0.525540446220276
xgb,B,2,3,5849,0.8989421822951842,85.16546831937085,126.81236023056861,0.8892671213731613
xgb,B,3,0,5879,0.9428171738001018,43.123212842320115,58.44560815366845,0.4417063912088308
xgb,B,3,1,5879,0.879585778287923,94.14537889096785,136.12938117296002,0.9934855864738039
xgb,B,3,2,5879,0.8443209822865112,51.6170414186086,77.93204280153998,0.5211156010719956
xgb,B,3,3,5849,0.8989731992082343,84.3549636519063,126.79289795692526,0.8812139870102699
xgb,B,4,0,5879,0.944745061707637,41.99199598571187,57.45193005894186,0.4310403734205219
xgb,B,4,1,5879,0.8730983359156204,96.52359899642796,139.74833340774592,1.0177278023727345
xgb,B,4,2,5879,0.8429540538543949,50.88633327096445,78.27343340229142,0.5142070239267931
xgb,B,4,3,5849,0.8958190847080139,84.93933940844587,128.75695939058318,0.8882214950928472
