item,isu_ord,fair,udl1,udl2,udl3
KR65333BJ8C6,737056,0.971053,^GSPC,^HSCE,^STOXX50E
KR65333C7912,737076,0.9848535353535353,^GSPC,^KS200,^STOXX50E
KR6553309925,737091,0.9670979797979798,^GSPC,^HSCE,^STOXX50E
KR65793C0928,737112,0.8259780000000001,068270.KS,^HSCE,^STOXX50E
KR65333AX937,737126,0.989743,^GSPC,^HSCE,^STOXX50E
KR65733BQ930,737139,0.9449111111111111,^GSPC,^HSCE,^STOXX50E
KR6613360942,737153,0.954331313131313,^HSCE,^KS200,^STOXX50E
KR6573388941,737167,0.9356363636363636,^GSPC,^KS200,^STOXX50E
KR6513355943,737178,0.9341229999999999,^GSPC,^HSCE,^STOXX50E
KR6503331953,737189,0.948920202020202,^HSCE,^KS200,^STOXX50E
KR65433CH959,737203,0.9682040404040403,^GSPC,^HSCE,^N225
KR6793301963,737215,0.9291454545454546,^GSPC,^HSCE,^N225
KR6663316968,737227,0.9543,^HSCE,^KS200,^STOXX50E
KR6653370967,737238,0.9021100000000001,^HSCE,^KS200,^STOXX50E
KR6703399974,737252,0.9569840000000001,^GSPC,^KS200,^STOXX50E
KR6523397976,737265,0.9100111111111112,^HSCE,^N225,^STOXX50E
KR6533389989,737278,0.9687969696969697,^GSPC,^HSCE,^STOXX50E
KR6613349986,737297,0.9256008064516128,^GSPC,^KS200,^STOXX50E
KR6543306999,737308,0.9855191919191919,^GSPC,^HSCE,^N225
KR65093AK991,737325,0.8997299999999999,005930.KS,^GSPC,^HSCE
KR65033309A9,737336,0.929340404040404,^HSCE,^N225,^STOXX50E
KR65733959A4,737348,0.894732,^GSPC,^HSCE,^STOXX50E
KR65333GT9A1,737357,0.9718505050505051,^GSPC,^KS200,^STOXX50E
KR65333A79B2,737371,0.9669418837675351,^GSPC,^HSCE,^KS200
KR65033AN9B4,737388,0.931766,^GSPC,^N225,^STOXX50E
KR65233329C1,737399,0.9150280000000001,^HSCE,^KS200,^STOXX50E
KR65333B89C7,737410,0.9856950000000001,^GSPC,^N225,^STOXX50E
KR65333HP9C0,737423,0.9841616161616162,^GSPC,^N225,^STOXX50E
KR6533355A12,737440,0.9794309999999999,^KS200,^N225,^STOXX50E
KR6523373A11,737453,0.9469808467741935,^GSPC,^KS200,^STOXX50E
KR6503352A26,737465,0.9332450000000001,^HSCE,^N225,^STOXX50E
KR6523386A24,737475,0.9504414141414143,^GSPC,^KS200,^STOXX50E
KR6513307A39,737488,0.9138474747474747,^GSPC,^HSCE,^N225
KR65833A5A37,737497,0.9863739919354839,^GSPC,^KS200,^STOXX50E
KR65093BGA33,737509,0.851786,090430.KS,^GSPC,^HSCE
KR6503374A46,737535,0.8905700000000001,^HSCE,^KS200,^STOXX50E
KR6573326A55,737558,0.936816,^GSPC,^HSCE,^STOXX50E
KR65333ACA61,737588,0.8806729999999999,^GSPC,^N225,^STOXX50E
KR6663310A78,737619,0.9764,^GSPC,^N225,^STOXX50E
KR6503354A81,737650,0.9315727272727272,^HSCE,^KS200,^STOXX50E
KR6KB00002S5,737682,0.9489042338709677,^GSPC,^KS200,^STOXX50E
KR6HN0000545,737706,0.8568373737373738,^GSPC,^KS200,^STOXX50E
KR6SS00009H6,737727,0.888909090909091,^GSPC,^HSCE,^STOXX50E
KR6SY0000671,737748,0.9756858006042296,^GSPC,^HSCE,^KS200
KR6MZ00007F1,737774,0.8783881048387098,^GSPC,^HSCE,^STOXX50E
KR6KS00009V5,737798,0.8752326283987915,^GSPC,^KS200,^STOXX50E
KR6SS0000QE0,737817,0.9108709677419355,^GSPC,^HSCE,^KS200
KR6YT00006K7,737830,0.985383064516129,^GSPC,^KS200,^STOXX50E
KR6MZ0000E36,737843,0.8707237903225806,^GSPC,^KS200,^N225
KR6SH00012B6,737857,0.875748,105560.KS,^HSCE,^N225
KR6SY0000H53,737868,0.9484600000000001,005930.KS,^GSPC,^HSCE
KR6ZY0000700,737886,0.8685574596774194,^GSPC,^KS200,^N225
KR6HN0000VW6,737896,0.81478125,^GSPC,^HSCE,^STOXX50E
KR6KB0001GE2,737910,0.8109022177419355,^GSPC,^HSCE,^KS200
KR6KW0000AR5,737924,0.800258,^GSPC,^HSCE,^STOXX50E
KR6SH0001H53,737951,0.8991490433031217,^GSPC,^N225,^STOXX50E
KR6SS0001K89,737965,0.914134,^GSPC,^KS200,^N225
KR6MZ0000TP8,737979,0.8582205438066465,^GSPC,^HSCE,^STOXX50E
KR6MZ0000W59,737992,0.9037673716012085,^GSPC,^N225,^STOXX50E
20210714000301_2983,738006,0.875823766364552,^HSCE,^N225,^STOXX50E
KR6KB0002227,738019,0.817725806451613,^GSPC,^HSCE,^STOXX50E
KR6SY00010R5,738039,0.968558912386707,^GSPC,^KS200,^STOXX50E
20210902000337_31306,738050,0.8690716448032291,^HSCE,^N225,^STOXX50E
KR6KS0001LQ0,738070,0.9297780000000001,^GSPC,^KS200,^STOXX50E
KR6DS0000B62,738082,0.8557444444444445,^GSPC,^N225,^STOXX50E
KR6MZ0001752,738095,0.8845262626262625,^HSCE,^KS200,^STOXX50E
KR6MZ0001851,738106,0.8588222222222223,^GSPC,^HSCE,^STOXX50E
20211119000386_27275,738133,0.9210721442885771,^KS200,^N225,^STOXX50E
KR6SY0001984,738148,0.9781242424242425,^HSCE,^KS200,^STOXX50E
KR6SS0002VA4,738168,0.897516,^GSPC,^N225,^STOXX50E
KR6MD0002HN1,738182,0.833733,^GSPC,^HSCE,^STOXX50E
KR6HN0002129,738197,0.8852090909090908,^GSPC,^N225,^STOXX50E
KR6SH0002Z43,738211,0.90943,^GSPC,^N225,^STOXX50E
KR6KS0002809,738225,0.862332,^GSPC,^HSCE,^STOXX50E
KR6KB0003BZ4,738238,0.9137909090909092,^GSPC,^HSCE,^STOXX50E
KR6KS0002BG0,738253,0.8733690000000001,^GSPC,^KS200,^STOXX50E
KR6YT0000T58,738267,1.0285,^GSPC,^KS200,^STOXX50E
KR6HM0000AM3,738284,0.9016797979797979,^GSPC,^KS200,^STOXX50E
KR6SH0003DL0,738306,0.8967700000000001,^GSPC,^KS200,^STOXX50E
KR6HN0002FZ8,738327,0.835175,^HSCE,^KS200,^STOXX50E
KR6SH0003JF9,738347,0.8908383838383838,^GSPC,^N225,^STOXX50E
KR6MD0003A33,738368,0.9119464646464647,^GSPC,^KS200,^STOXX50E
KR6HH0000SZ7,738403,0.9142989898989898,^GSPC,^KS200,^STOXX50E
KR6KS0002Z63,738418,0.8253879999999999,035420.KS,^GSPC,^STOXX50E
KR6SH0003WY3,738435,0.8732219999999999,^GSPC,^N225,^STOXX50E
KR6SY0001YJ9,738452,0.965679797979798,^GSPC,^N225,^STOXX50E
KR6KW0001BG4,738469,0.934602,^GSPC,^HSCE,^STOXX50E
20221129000047_28547,738497,0.9202040000000001,^KS200,^N225,^STOXX50E
KR6HN00036V8,738524,0.9038747474747475,^GSPC,^N225,^STOXX50E
KR6MD0004357,738550,0.880532,^KS200,^N225,^STOXX50E
KR6SH0004C55,738572,0.9046141414141414,^GSPC,^N225,^STOXX50E
KR6MD00047F3,738592,0.832867,^GSPC,^HSCE,^STOXX50E
KR6ZY0001PJ2,738614,0.9510393939393941,^GSPC,^N225,^STOXX50E
KR6KB0005006,738628,0.859541414141414,^GSPC,^HSCE,^STOXX50E
KR6YT0001D48,738643,0.9960606060606061,^GSPC,^N225,^STOXX50E
KR6SY0002DF9,738663,0.9579042338709677,^GSPC,^KS200,^STOXX50E
KR6SH0004WD5,738683,0.866992950654582,^GSPC,^HSCE,^N225
KR6SH0004Y75,738698,0.9122454545454545,^GSPC,^KS200,^STOXX50E
KR6KW00020D4,738714,0.877626,^HSCE,^N225,^STOXX50E
KR6HH00015F3,738733,0.9301141414141413,^GSPC,^N225,^STOXX50E
KR6SY0002NB7,738761,0.9698929292929294,^GSPC,^N225,^STOXX50E
KR6SS00054E9,738776,0.946049,^GSPC,^HSCE,^STOXX50E
KR6MD00053J3,738797,0.9137737373737375,^GSPC,^N225,^STOXX50E
KR6HH0001891,738816,0.9608454545454547,^GSPC,^N225,^STOXX50E
KR6ZY0002F96,738830,0.9121363636363636,^GSPC,^N225,^STOXX50E
KR6MD0005CV8,738854,0.9217719999999999,^GSPC,^N225,^STOXX50E
KR6SS0005DZ2,738874,0.9517709999999999,^GSPC,^N225,^STOXX50E
KR6NH0003KM4,738900,0.948189898989899,^GSPC,^KS200,^STOXX50E
KR6HN0004SF9,738921,0.9605676767676768,^GSPC,^N225,^STOXX50E
KR6ZY0002QK6,738953,0.93971,^GSPC,^N225,^STOXX50E
KR6MD0005WC6,738999,0.9841070707070707,^GSPC,^KS200,^STOXX50E
KR6MD0005YP4,739042,0.924271,005930.KS,^HSCE,^STOXX50E
KR6KS0005AG5,739075,0.992217,^GSPC,^KS200,^STOXX50E
KR6KW0003C06,739106,0.9197879999999999,^HSCE,^KS200,^N225
KR6SH0006TJ3,739142,0.9196350000000001,^GSPC,^KS200,^STOXX50E
KR6KS0005NT1,739181,0.978562,^GSPC,^KS200,^N225
KR6SS0006E66,739219,0.9688530000000001,005380.KS,^GSPC,^STOXX50E
KR6SH00076R7,739257,0.9762719999999999,^GSPC,^KS200,^STOXX50E
KR6SS0006KN1,739289,0.983716,^HSCE,^N225,^STOXX50E
KR6SH0007C52,739317,0.9858629999999999,^GSPC,^KS200,^STOXX50E
KR6MD0006VY0,739351,0.9856010000000001,^KS200,^N225,^STOXX50E
KR6SY0003LF0,739373,0.9010889999999999,000660.KS,005490.KS,^KS200
KR6SS0006Y70,739411,0.9926262626262626,^GSPC,^KS200,^STOXX50E
KR6SH0007TZ7,739439,0.926702,^GSPC,^KS200,^STOXX50E
KR6MD0007913,739463,0.962325,^GSPC,^HSCE,^N225
KR6SH00082T1,739499,0.949792,^GSPC,^KS200,^STOXX50E
KR6SY0003Y34,739526,0.9740444444444445,^GSPC,^KS200,^STOXX50E
20251016000265_3661,739555,0.9773989898989899,^GSPC,^KS200,^STOXX50E
KR6MD0007NW9,739590,0.9298270000000001,000660.KS,^GSPC,^KS200
KR6MD0007S54,739615,0.964773,^HSCE,^KS200,^N225
KR6KS0007PQ8,739650,0.994394,^GSPC,^KS200,^N225
KR6ZW00040V7,739681,0.910682,^GSPC,^HSCE,^KS200
KR6MD00088M3,739719,0.996616935483871,^GSPC,^KS200,^STOXX50E
20260422000383_13574,739748,1.0007242424242424,^GSPC,^KS200,^STOXX50E
