payoff,cohort,scope,axis,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
detailed,other_diagnostic,terms,ki_barrier,328,41,155.11884348791656,297.20942609812386,0.886687001960835,19.637751971513133,34.230023039199985,-1.2631293081740291,0.04878048780487805,0.3323170731707317,0.524390243902439,313.0,1.0
detailed,other_diagnostic,terms,last_strike,688,86,121.53916966381706,227.61920518118868,0.8768885713158708,10.907439696184912,19.41425304217718,-2.5506809630857252,0.1569767441860465,0.5203488372093024,0.6933139534883721,515.0,0.9669902912621359
detailed,published_monthly_6,schedule,nobs_early,6,6,103.38566191780167,119.88108220354108,0.5218390883801386,115.84925913684971,123.18716135588889,115.84925913684971,0.0,0.0,0.0,6.0,0.6666666666666666
detailed,published_monthly_6,schedule,nobs_late,6,6,318.83000442932644,321.4109962270787,-0.9575647411113721,306.3664072102775,310.98856403422167,-306.3664072102775,0.0,0.0,0.0,6.0,0.6666666666666666
detailed,published_monthly_6,schedule,nobs_middle,6,6,326.746867087857,330.4943932167532,-1.0298919209438884,314.2832698688082,317.3237635245061,-314.2832698688082,0.0,0.0,0.0,6.0,0.6666666666666666
detailed,published_monthly_6,schedule,tenor_months,48,6,200.53976247341325,259.8295453293143,-0.21479368125226683,199.63502722257758,259.94294829561386,34.21441517029683,0.0,0.0,0.020833333333333332,45.0,0.5555555555555556
detailed,published_monthly_6,terms,base,6,6,21.026419521674143,25.05706767317427,0.9887511021744142,,,,,,,,
detailed,published_monthly_6,terms,coupon_regular,48,6,21.121426538551646,25.2719909292211,0.9892936712186468,2.5600670176189477,3.707193593642552,0.28900388214261125,0.375,0.8125,0.9791666666666666,48.0,1.0
detailed,published_monthly_6,terms,first_strike,48,6,21.50016374172598,26.184003766894058,0.9875976199647739,5.597157968360484,8.68866798324643,-0.980453178493424,0.20833333333333334,0.6041666666666666,0.8125,45.0,1.0
detailed,published_monthly_6,terms,ki_barrier,8,1,5.429860186018004,6.330226111279386,0.9764958946085046,1.9954195437665718,3.668892966907869,-1.6948140377066943,0.75,0.875,1.0,8.0,1.0
detailed,published_monthly_6,terms,last_strike,48,6,21.371899962833407,25.954731116047398,0.9880498290996719,5.586091733065228,8.406877144520738,-0.3365065061029752,0.16666666666666666,0.6041666666666666,0.8125,46.0,1.0
detailed,published_monthly_6,terms,monthly_barrier,48,6,21.737116847387636,25.97722304369282,0.9880042279394955,5.756674903331484,8.806807317502976,1.0124866888456776,0.25,0.6458333333333334,0.7916666666666666,48.0,1.0
detailed,regular_test,schedule,nobs_early,81,81,92.50385209309734,122.21814523058706,0.9054159796321051,69.13607965115234,94.70234551267168,26.18623095083206,0.0,0.06172839506172839,0.16049382716049382,77.0,0.8181818181818182
detailed,regular_test,schedule,nobs_late,81,81,135.74452466028035,197.6432918784229,0.8573950974495921,131.24196741521155,193.80055587691848,-104.47436750325737,0.012345679012345678,0.012345679012345678,0.07407407407407407,72.0,0.5972222222222222
detailed,regular_test,schedule,nobs_middle,81,81,158.6147681230532,248.93303488875802,0.7739688418896434,160.53039183591903,249.2852134260427,-138.45806168645024,0.0,0.012345679012345678,0.024691358024691357,64.0,0.59375
detailed,regular_test,schedule,tenor_months,1024,128,83.75741644959345,120.5207605867684,0.9325734782193578,50.82538055959719,92.37974503470733,-1.958304643726008,0.03515625,0.1884765625,0.3310546875,943.0,0.7168610816542949
detailed,regular_test,terms,base,128,128,60.813999157585435,79.66955409191029,0.9700924244340898,,,,,,,,
detailed,regular_test,terms,coupon_regular,1024,128,60.90802888388474,79.98605774955715,0.9700456911096577,3.9974023543253256,7.053811742767771,0.14823376356314133,0.3408203125,0.7548828125,0.900390625,1024.0,1.0
detailed,regular_test,terms,first_strike,1024,128,61.415088126428095,81.30335585443495,0.9686363626410153,13.010221548034734,23.622889469760832,-0.9268230558542948,0.1513671875,0.46484375,0.64453125,957.0,0.7983281086729362
detailed,regular_test,terms,ki_barrier,512,64,54.732586804207905,71.80307524960855,0.9678263947623544,11.70627523049847,20.893073388401373,-1.1305793594511313,0.14453125,0.501953125,0.6796875,363.0,0.9862258953168044
detailed,regular_test,terms,last_strike,1024,128,61.351580227275925,80.54605825146642,0.9694573305441676,8.901334248568183,17.508809073710417,-1.5930832940368491,0.208984375,0.5947265625,0.7626953125,648.0,0.9891975308641975
reference,monthly_test,schedule,nobs_early,128,128,129.3016238366447,156.79393974805936,0.8831652477072233,76.90030138432853,132.03204563393368,-47.147980457007975,0.0,0.1953125,0.359375,119.0,0.6722689075630253
reference,monthly_test,schedule,nobs_late,128,128,528.3571922057167,588.4465670235406,-1.1182206187515038,588.9657392526435,629.9533258755298,-588.9657392526435,0.0,0.0,0.0,125.0,0.488
reference,monthly_test,schedule,nobs_middle,128,128,507.59262246867513,540.3989094069763,-0.6696397874310778,568.2011695156023,594.6531069698074,-568.2011695156023,0.0,0.0,0.0,121.0,0.5537190082644629
reference,monthly_test,schedule,tenor_months,1024,128,315.34311308117293,410.56974228865937,0.2010106212507936,304.87027393242545,400.4772945714596,48.77018349718186,0.0029296875,0.005859375,0.0107421875,898.0,0.5957683741648107
reference,monthly_test,terms,base,128,128,67.29878002893241,96.27167178825567,0.9551501637937619,,,,,,,,
reference,monthly_test,terms,coupon_regular,1024,128,67.43232734356297,96.43801509069873,0.955377829322183,5.88938317201489,9.159606712447292,-0.18286973773498616,0.244140625,0.6162109375,0.8017578125,1024.0,1.0
reference,monthly_test,terms,first_strike,1024,128,69.16800081574459,105.87537166560101,0.9452825697570713,21.785280235110882,39.77224305536993,0.8849670005178728,0.126953125,0.4140625,0.5537109375,993.0,0.6414904330312186
reference,monthly_test,terms,ki_barrier,344,43,29.654535264495976,41.27266680293328,0.9928706698878422,14.63556719006781,22.840385753832805,-3.1410182281867107,0.07267441860465117,0.375,0.5552325581395349,343.0,1.0
reference,monthly_test,terms,last_strike,1024,128,67.92947962149229,97.68416647090298,0.9538880208163288,11.551756439759636,18.110189081965558,-1.178318188661506,0.140625,0.4814453125,0.6796875,1021.0,1.0
reference,monthly_test,terms,monthly_barrier,1004,128,67.61431620134096,96.8758017401518,0.9546244116649292,2.6953576570487985,4.121691974597113,-0.04723331684446697,0.4073705179282869,0.8127490039840638,0.951195219123506,0.0,
reference,other_diagnostic,terms,base,86,86,92.77742030067361,175.9201274083736,0.9344458057568787,,,,,,,,
reference,other_diagnostic,terms,coupon_regular,688,86,92.98014329398497,176.13804877535833,0.9344643219879827,4.961700047517917,8.289875963914103,0.06978593189122032,0.2558139534883721,0.686046511627907,0.8590116279069767,688.0,1.0
reference,other_diagnostic,terms,first_strike,688,86,92.07630783109008,173.76360957583637,0.936001629685697,7.919368124852602,14.766946005850834,-1.9045958448613773,0.2005813953488372,0.5973837209302325,0.7674418604651163,615.0,0.8552845528455284
reference,other_diagnostic,terms,ki_barrier,328,41,117.46347661712163,228.18451845385724,0.9399122666484571,13.470157068139462,22.237406776154174,-1.2961866559037374,0.08536585365853659,0.3932926829268293,0.625,314.0,1.0
reference,other_diagnostic,terms,last_strike,688,86,92.53238196230546,175.2573645699085,0.9349920005853758,7.685167936709287,13.064287758396269,-1.445294936960083,0.18023255813953487,0.5799418604651163,0.752906976744186,672.0,0.9657738095238095
reference,published_monthly_6,schedule,nobs_early,6,6,86.65837623830824,105.49729823157665,0.8820636362757404,78.48769879465303,93.18153517679357,-73.07262224869571,0.0,0.0,0.0,4.0,0.75
reference,published_monthly_6,schedule,nobs_late,6,6,618.451219090675,638.097302896966,-6.094982629558907,604.8654651010615,623.9391785460756,-604.8654651010615,0.0,0.0,0.0,6.0,0.5
reference,published_monthly_6,schedule,nobs_middle,6,6,602.9845568062743,611.9801849405249,-4.482125825559709,589.3988028166608,596.5585479116193,-589.3988028166608,0.0,0.0,0.0,6.0,0.5
reference,published_monthly_6,schedule,tenor_months,48,6,364.434715594178,464.99095699792537,-1.434803742994939,363.78688394719376,467.4757831606664,75.00038683539942,0.0,0.0,0.0,35.0,0.7428571428571429
reference,published_monthly_6,terms,base,6,6,22.550801926913362,24.326286193068324,0.993174934886553,,,,,,,,
reference,published_monthly_6,terms,coupon_regular,48,6,22.457579595243487,24.361435876690965,0.9933660650495604,1.898481483260845,3.0357854176260926,-0.12247364512730408,0.4791666666666667,0.8958333333333334,0.9791666666666666,48.0,1.0
reference,published_monthly_6,terms,first_strike,48,6,22.72603958361348,24.803333231708557,0.992843995282435,3.7967616578097534,5.529921516234105,-0.6040816035171176,0.2708333333333333,0.75,0.9375,45.0,0.8888888888888888
reference,published_monthly_6,terms,ki_barrier,8,1,24.533051106767743,24.83348566790328,0.64790319471285,2.619608717970594,4.517841935960118,-2.3620927051327345,0.625,0.875,0.875,8.0,1.0
reference,published_monthly_6,terms,last_strike,48,6,22.07220448538025,24.566496679198778,0.9931920661752149,3.5096821877070528,6.0667349323885755,-0.19948174576774627,0.3333333333333333,0.75,0.9166666666666666,48.0,1.0
reference,published_monthly_6,terms,monthly_barrier,48,6,22.489835030658167,24.327362266848358,0.9931743310594011,1.2234598398209544,1.8590249351955215,0.04506773418858079,0.6041666666666666,0.9583333333333334,1.0,0.0,
reference,regular_test,schedule,nobs_early,81,81,172.8446274318027,268.7903060390858,0.7305352453648575,157.27397996243744,248.6806523514721,131.89138104618488,0.0,0.04938271604938271,0.12345679012345678,79.0,0.5949367088607594
reference,regular_test,schedule,nobs_late,81,81,275.0139509630695,389.9071334731445,0.4110099080994696,267.20787784687735,395.84095322888294,-241.23544211599986,0.0,0.037037037037037035,0.037037037037037035,81.0,0.2962962962962963
reference,regular_test,schedule,nobs_middle,81,81,269.2200186534883,378.54642249796876,0.4712702850563705,265.13397996790457,384.07876867044644,-219.61331423902635,0.0,0.037037037037037035,0.037037037037037035,81.0,0.32098765432098764
reference,regular_test,schedule,tenor_months,1024,128,103.55373916151419,168.37366213922186,0.8796286743595951,79.98535321531999,152.08157830953334,-0.8807635162067339,0.0400390625,0.1748046875,0.2744140625,923.0,0.6489707475622969
reference,regular_test,terms,base,128,128,51.0097372419996,73.73430871028303,0.9765535146954447,,,,,,,,
reference,regular_test,terms,coupon_regular,1024,128,51.15280675489177,73.91891699333802,0.9765571897028547,3.184934861860995,5.367583591850143,0.10536257769376946,0.3837890625,0.8076171875,0.9365234375,1024.0,1.0
reference,regular_test,terms,first_strike,1024,128,51.17042744309156,74.34582796616972,0.9760256718419718,9.62576142531817,17.045988619345135,-0.8850187666092808,0.197265625,0.54296875,0.716796875,967.0,0.8572905894519132
reference,regular_test,terms,ki_barrier,512,64,48.82269414535659,67.94767241924228,0.9716690236806167,8.44881900640028,14.570330224464755,-1.1263456434776697,0.1640625,0.56640625,0.748046875,398.0,0.9296482412060302
reference,regular_test,terms,last_strike,1024,128,51.17766273728772,74.09882066671096,0.9763529285879984,7.358815627509706,13.585645695007189,-1.3686870572151428,0.2314453125,0.6240234375,0.78515625,916.0,0.9814410480349345
