item,isu_ord,opt_type,ki_yn,fair,mc,mc_iv,n_iv_udl
KR65733CR514,735624,STEP,1,0.839151,0.9970696,0.9976356,0
KR65533A9512,735624,STEP,0,0.9128141414141416,1.0056715,1.0060205,0
KR6703394512,735624,STEP,1,0.959040404040404,1.0093096,1.0106893,0
KR65733BL519,735624,STEP,0,0.9180424242424244,1.0069358,1.0068897,0
KR65533AB516,735624,STEP,0,0.9185030303030304,1.0098631,1.0089827,0
KR65233D6518,735624,STEP,0,0.895799,1.0104568,1.0125413,0
KR6703393514,735624,STEP,0,0.892478787878788,0.99459904,0.99441504,0
KR6703368516,735624,STEP,1,0.944983,1.0087053,1.0086328,0
KR65933C4517,735624,STEP,1,1.0391929292929294,1.0133326,1.014012,0
KR6673319515,735624,STEP,1,0.8991399999999999,1.0018111,1.0021219,0
KR65933AR514,735624,STEP,0,0.872084,1.0091803,1.0103424,0
KR6773316510,735624,STEP,1,0.883813,1.0019991,1.0021261,0
KR65533AA518,735624,STEP,0,0.8819434343434344,1.0135841,1.0149344,0
KR65933AS512,735624,STEP,1,0.879181,0.99621814,0.9987311,0
KR6773314515,735624,STEP,1,0.9106575757575758,1.0105574,1.0114409,0
KR65033BT517,735624,STEP,0,0.90215626,1.0010064,1.001416,0
KR65033BX519,735624,STEP,1,0.90096917,0.99918395,0.9984493,0
KR65033BS519,735624,STEP,0,0.94529936,1.0012469,1.0010908,0
KR65033BP515,735624,STEP,0,1.01882124,0.9989366,1.0025675,0
KR65033BQ513,735624,STEP,0,0.93678017,0.99427986,0.9946832,0
KR65033BR511,735624,STEP,0,0.91030524,1.0143051,1.0170244,0
KR65033BV513,735624,STEP,0,0.90877367,1.0015882,1.0035082,0
KR65933AQ516,735624,STEP,0,0.8960110000000001,1.0030369,1.0035566,0
KR65933AP518,735624,STEP,1,0.895709,0.9870265,0.990303,0
KR65033BW511,735624,STEP,0,0.88826178,1.0056351,1.0058498,0
KR6543359519,735624,STEP,0,0.9742424242424242,1.0009587,1.0005251,0
KR65533AN511,735624,STEP,1,0.9399898989898988,1.0086379,1.009178,0
KR6513387516,735624,STEP,1,0.919323,0.9785807,0.9780305,0
KR6513386518,735624,STEP,1,0.912252,0.97718,0.9773835,0
KR6703371510,735624,STEP,1,0.878056,0.96813136,0.9670695,0
KR65133CB511,735625,STEP,1,0.9012707070707072,1.0151374,1.0157143,0
KR65233C7517,735625,STEP,1,0.8340290000000001,0.99554235,0.9954369,0
KR65233C6519,735625,STEP,1,0.8589129999999999,1.0144255,1.0154297,0
KR6543366514,735625,STEP,1,0.9816161616161616,1.0042748,1.0043752,0
KR65233C9513,735625,STEP,1,0.844052,0.962794,0.9628626,0
KR65033D4515,735626,STEP,0,0.923651,1.0016212,1.0031489,0
KR65733D1514,735626,STEP,1,0.907807,1.0046762,1.0056921,0
KR65033D5512,735626,STEP,0,0.94135,1.0045465,1.0057447,0
KR65033D3517,735626,STEP,0,0.949432,1.0033271,1.0038861,0
KR65333B5511,735626,STEP,1,0.9994949494949495,1.0063366,1.00701,0
KR65733D2512,735626,STEP,1,0.8866360000000001,0.9937179,0.9979443,0
KR65733D0516,735626,STEP,1,0.8394229999999999,1.0087888,1.010816,0
KR65733D3510,735626,STEP,1,0.81924,0.9890782,0.99131763,0
KR65533C2515,735626,STEP,1,0.9429777777777776,1.0114803,1.0129251,0
KR6703397515,735627,STEP,1,0.9321676767676766,1.012921,1.0139426,0
KR65233CJ512,735627,STEP,1,0.8550700000000001,0.99846375,0.99709463,0
KR65233CK510,735627,STEP,1,0.8447870000000001,1.0208348,1.0210555,0
KR65233EJ518,735627,STEP,1,0.8880525252525252,1.0113343,1.0122353,0
KR65233CG518,735627,STEP,1,0.839475,0.9898561,0.9920374,0
KR65533C7514,735627,STEP,1,0.9602,1.0079931,1.0085582,0
KR65233CL518,735627,STEP,1,0.818662,0.9976317,0.9965167,0
KR6543375515,735628,STEP,1,0.986060606060606,0.94164515,0.94450676,0
KR6543362513,735628,STEP,1,0.9295,0.99743193,0.9981149,0
KR67033A8515,735628,STEP,1,0.9601808080808082,1.0156988,1.0168514,0
