payoff,cohort,model,seed,scope,axis,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
reference,monthly_test,affine_coupon_delta,ensemble,schedule,nobs_late,128,128,524.901504270563,580.2860493062558,-1.0598774516941405,550.3342925930785,602.3154813545959,-550.3342925930785,0.0,0.0,0.0,125.0,0.488
reference,monthly_test,affine_coupon_delta,ensemble,schedule,nobs_middle,128,128,514.0813160362889,547.8518813171764,-0.7160114143820955,539.5141043588046,571.5734387729768,-539.5141043588046,0.0,0.0,0.0,121.0,0.5537190082644629
reference,monthly_test,affine_coupon_delta,ensemble,schedule,tenor_months,1024,128,200.3709071691106,270.39093255740084,0.6534615941094938,198.54672215067797,267.3428388540932,7.252135501937371,0.0,0.005859375,0.0126953125,898.0,0.5968819599109132
reference,monthly_test,affine_coupon_delta,ensemble,terms,ALL,4548,128,32.01043147661126,41.121654236191546,0.9920816855768048,9.171429438065124,18.450717372534207,-0.0879039601809991,0.2339366515837104,0.6180995475113122,0.7787330316742082,3381.0,0.90150842945874
reference,monthly_test,affine_coupon_delta,ensemble,terms,base,128,128,30.60831391159539,36.84859398455833,0.9934293902030206,,,,,,,,
reference,monthly_test,affine_coupon_delta,ensemble,terms,coupon_regular,1024,128,30.858817371219928,37.337817407055894,0.9933111412952844,3.8363869535969712,6.024570384096712,-7.460592292590773e-06,0.271484375,0.75390625,0.935546875,1024.0,1.0
reference,monthly_test,affine_coupon_delta,ensemble,terms,first_strike,1024,128,35.59283357437109,49.103158901987484,0.9882305908406366,17.381848592620774,30.758280113649143,1.0929581069535366,0.12890625,0.4140625,0.5908203125,993.0,0.6646525679758308
reference,monthly_test,affine_coupon_delta,ensemble,terms,ki_barrier,344,43,30.423003272891613,40.56284429086917,0.9931137868327895,15.010897094268312,23.053640364027093,-3.085797874675726,0.07267441860465117,0.3488372093023256,0.5581395348837209,343.0,1.0
reference,monthly_test,affine_coupon_delta,ensemble,terms,last_strike,1024,128,31.617103156495702,40.478641283730724,0.9920819677584558,11.469308112961379,17.342951902910567,-0.42254953130997314,0.1005859375,0.4677734375,0.673828125,1021.0,1.0
reference,monthly_test,affine_coupon_delta,ensemble,terms,monthly_barrier,1004,128,30.655040685789125,37.02618305726512,0.9933715873489917,1.8943474191435439,2.810330514934644,-0.013457945143493825,0.4940239043824701,0.9332669322709163,0.9930278884462151,0.0,
reference,monthly_test,augmented_delta,101,schedule,ALL,1408,128,353.1247648181862,456.73529206484403,-0.02566251867804592,350.86169623480146,456.2488161772232,-51.01918605916422,0.0,0.004971590909090909,0.020596590909090908,1263.0,0.5898653998416469
reference,monthly_test,augmented_delta,101,schedule,nobs_early,128,128,132.71208762862548,158.43191276205997,0.8807114312945798,87.21655585606763,133.6075645106726,-20.087552443603872,0.0,0.0234375,0.1484375,119.0,0.680672268907563
reference,monthly_test,augmented_delta,101,schedule,nobs_late,128,128,506.8400784232512,569.4053670764558,-0.9833540019949301,549.7558419331679,589.9740313700705,-549.7558419331679,0.0,0.0,0.0,125.0,0.488
reference,monthly_test,augmented_delta,101,schedule,nobs_middle,128,128,461.6167877165525,493.37798039198486,-0.3917248549055212,504.5325512264693,526.4607036730059,-504.5325512264693,0.0,0.0,0.0,121.0,0.5537190082644629
reference,monthly_test,augmented_delta,101,schedule,tenor_months,1024,128,347.9004324039523,461.23928478347193,-0.008369511367047666,339.7467136958889,453.6947753441859,64.14561236905432,0.0,0.00390625,0.009765625,898.0,0.5968819599109132
reference,monthly_test,augmented_delta,101,terms,ALL,4548,128,63.49814737226716,87.11700712242143,0.9644616317988713,10.461115607838225,21.795256396575738,0.004943129960408976,0.24615384615384617,0.5807692307692308,0.7361990950226245,3381.0,0.8944099378881988
reference,monthly_test,augmented_delta,101,terms,base,128,128,64.97351995675714,86.13608725096425,0.9640967209824649,,,,,,,,
reference,monthly_test,augmented_delta,101,terms,coupon_regular,1024,128,65.02662947090266,86.41258637016908,0.964173187167289,4.998531603506612,7.276988963644707,-0.019343657496695782,0.2236328125,0.673828125,0.85546875,1024.0,1.0
reference,monthly_test,augmented_delta,101,terms,first_strike,1024,128,67.58583780415157,97.0469264768375,0.9540273680064006,20.85281145070538,37.55649447814569,1.8042958866021006,0.1357421875,0.3984375,0.5537109375,993.0,0.6404833836858006
reference,monthly_test,augmented_delta,101,terms,ki_barrier,344,43,31.594684545644714,40.971854459375656,0.9929742142105749,14.682264574247505,22.85050350434335,-3.2049147539245055,0.06395348837209303,0.35755813953488375,0.563953488372093,343.0,1.0
reference,monthly_test,augmented_delta,101,terms,last_strike,1024,128,66.58338843411484,89.1765798255481,0.9615702962306741,12.771023949375376,20.11460386839555,-0.6943482636900931,0.1337890625,0.4111328125,0.60546875,1021.0,1.0
reference,monthly_test,augmented_delta,101,terms,monthly_barrier,1004,128,65.36637048278409,86.74907132883324,0.9636150888999488,1.6316017544127082,2.6692786487084526,0.007530726284619821,0.5587649402390438,0.9213147410358565,0.9930278884462151,0.0,
reference,monthly_test,augmented_delta,233,schedule,ALL,1408,128,328.09282570755926,418.08003169181467,0.14060228655863027,329.71936573598396,427.3343193959485,-106.89092401074635,0.0007102272727272727,0.0078125,0.017045454545454544,1263.0,0.5637371338083927
reference,monthly_test,augmented_delta,233,schedule,nobs_early,128,128,121.2081643528289,147.0870274746437,0.8971836365211959,93.57224248671386,137.35980234703538,-75.63050854996861,0.0,0.0234375,0.078125,119.0,0.3949579831932773
reference,monthly_test,augmented_delta,233,schedule,nobs_late,128,128,573.6769645311729,632.3615890854661,-1.4461781824054363,654.8347747623691,695.283021416798,-654.8347747623691,0.0,0.0,0.0,125.0,0.488
reference,monthly_test,augmented_delta,233,schedule,nobs_middle,128,128,553.4250956324784,586.9963674904267,-0.9699930093377718,634.5829058636749,663.6330683956885,-634.5829058636749,0.0,0.0,0.0,121.0,0.5537190082644629
reference,monthly_test,augmented_delta,233,schedule,tenor_months,1024,128,295.08885728333394,380.23340421455896,0.3147206240409547,280.49038749788326,365.04550764768004,23.65600313222533,0.0009765625,0.0078125,0.013671875,898.0,0.5979955456570156
reference,monthly_test,augmented_delta,233,terms,ALL,4548,128,83.67831767939377,115.77015367830381,0.9372397292749869,12.874701393719675,25.401346573876882,-0.9240486603105043,0.17443438914027148,0.5081447963800905,0.6701357466063348,3381.0,0.8893818396923987
reference,monthly_test,augmented_delta,233,terms,base,128,128,87.02186744236778,116.89073787445155,0.9338813413430196,,,,,,,,
reference,monthly_test,augmented_delta,233,terms,coupon_regular,1024,128,86.67360690144264,116.89777069908986,0.9344358213523393,7.594859977640832,12.321203699338184,-0.497413653957968,0.2099609375,0.591796875,0.74609375,1024.0,1.0
reference,monthly_test,augmented_delta,233,terms,first_strike,1024,128,87.4565822926719,125.24877925948124,0.9234257414139085,24.42273757773281,43.68874887236303,-0.3396494255253706,0.1044921875,0.37890625,0.5078125,993.0,0.6233635448136958
reference,monthly_test,augmented_delta,233,terms,ki_barrier,344,43,41.967878163389685,52.047425040248896,0.9886623731686639,15.403025120901043,23.500365178013755,-3.131386186898678,0.06976744186046512,0.3488372093023256,0.5494186046511628,343.0,1.0
reference,monthly_test,augmented_delta,233,terms,last_strike,1024,128,86.67213119066581,118.19868867623155,0.9324864834088944,14.552074725836672,22.39671136062758,-2.0041516014801646,0.0966796875,0.3671875,0.5712890625,1021.0,1.0
reference,monthly_test,augmented_delta,233,terms,monthly_barrier,1004,128,87.58133825800665,117.71302069095309,0.9330052673117123,3.904576795509612,6.17692203071932,-0.0973051762675859,0.3247011952191235,0.7529880478087649,0.900398406374502,0.0,
reference,monthly_test,augmented_delta,47,schedule,ALL,1408,128,326.7349906336037,419.5822762858921,0.13441521744846674,326.36020790897044,424.83460204278254,-64.13173208858021,0.0,0.01065340909090909,0.019176136363636364,1263.0,0.6080760095011877
