payoff,cohort,model,seed,scope,structure,n_rows,n_families,price_mae,price_rmse,price_r2,delta_mae,delta_rmse,delta_bias,within_1,within_5,within_10,resolved_n,resolved_sign
detailed,regular_test,augmented_delta,233,schedule,STEP KI,313,32,95.55446759483839,144.48757050553692,0.9197594358406678,62.98722857825358,122.23691431477137,-21.336547340199193,0.0670926517571885,0.2012779552715655,0.30990415335463256,283,0.6819787985865724
detailed,regular_test,augmented_delta,233,schedule,STEP no-KI,322,32,113.24273504523367,157.8474708160932,0.833858695574117,77.5141329813112,128.65792969306503,-14.54627009952252,0.009316770186335404,0.11801242236024845,0.20186335403726707,281,0.6797153024911032
detailed,regular_test,augmented_delta,233,terms,LIZARD KI,1056,32,53.34437755214287,64.8865099794894,0.9296893680075,7.347549785426068,14.676851001929856,-0.1968967012144061,0.263671875,0.640625,0.7958984375,731,0.8673050615595075
detailed,regular_test,augmented_delta,233,terms,LIZARD no-KI,800,32,79.03479707787449,96.60473803882294,0.9713851059364377,9.667552464992086,18.336092572121604,-1.3678826810226827,0.17708333333333334,0.5703125,0.7434895833333334,691,0.9319826338639653
detailed,regular_test,augmented_delta,233,terms,STEP KI,1056,32,68.8788352076905,90.01355961910072,0.967791411605938,10.003048950909488,20.169825400569714,-1.1787007268925187,0.2216796875,0.580078125,0.744140625,842,0.9619952494061758
detailed,regular_test,augmented_delta,233,terms,STEP no-KI,800,32,78.07300482966495,102.85214467891075,0.9303956978521164,12.74464396493749,24.42872410804089,-1.978962645334157,0.15625,0.5,0.6796875,728,0.9340659340659341
detailed,regular_test,augmented_delta,47,schedule,LIZARD KI,322,32,76.12190962219597,104.33850004840393,0.8292549615498969,44.7820618308352,84.3282845719443,-5.287700157378717,0.052795031055900624,0.2515527950310559,0.3695652173913043,300,0.7466666666666667
detailed,regular_test,augmented_delta,47,schedule,LIZARD no-KI,310,32,109.9035637254041,161.51635769631062,0.9241646672294563,67.59700943773589,122.96666889722846,-21.083307329350024,0.03225806451612903,0.14516129032258066,0.2709677419354839,292,0.7294520547945206
detailed,regular_test,augmented_delta,47,schedule,STEP KI,313,32,98.06294474719529,146.09555617118673,0.9179635217350135,66.61312917824493,120.45919816201987,-23.66896468814073,0.04153354632587859,0.17891373801916932,0.28434504792332266,283,0.6219081272084805
detailed,regular_test,augmented_delta,47,schedule,STEP no-KI,322,32,129.55971576059645,186.12647883966054,0.7689964343374931,97.55851658328994,169.06303648490785,-20.1352254900499,0.031055900621118012,0.13354037267080746,0.2360248447204969,281,0.7544483985765125
detailed,regular_test,augmented_delta,47,terms,LIZARD KI,1056,32,55.293086597696494,68.61678716227266,0.9213727785019433,7.664319476865179,13.921795778328846,0.16197390099844003,0.2138671875,0.6025390625,0.76953125,731,0.8618331053351573
