payoff,split,origin,monthly,structure,axis,offset,scope,n_families,mean_delta,median_delta,min_delta,max_delta,mean_delta_se,positive,negative
detailed,stress,previous_canonical,False,STEP KI,last_strike,-0.025,terms,1,10.255711124213954,10.255711124213954,10.255711124213954,10.255711124213954,0.6627832901053144,1,0
detailed,stress,previous_canonical,False,STEP KI,last_strike,-0.01,terms,1,3.6805255475573295,3.6805255475573295,3.6805255475573295,3.6805255475573295,0.3944580748451478,1,0
detailed,stress,previous_canonical,False,STEP KI,last_strike,-0.005,terms,1,1.472428494524626,1.472428494524626,1.472428494524626,1.472428494524626,0.2488516543843593,1,0
detailed,stress,previous_canonical,False,STEP KI,last_strike,0.005,terms,1,-1.583088978795993,-1.583088978795993,-1.583088978795993,-1.583088978795993,0.2567726425488681,0,1
detailed,stress,previous_canonical,False,STEP KI,last_strike,0.01,terms,1,-2.820364873979176,-2.820364873979176,-2.820364873979176,-2.820364873979176,0.341929831836842,0,1
detailed,stress,previous_canonical,False,STEP KI,last_strike,0.025,terms,1,-7.079205031387424,-7.079205031387424,-7.079205031387424,-7.079205031387424,0.537882612840637,0,1
detailed,stress,previous_canonical,False,STEP KI,last_strike,0.05,terms,1,-12.69234160499838,-12.69234160499838,-12.69234160499838,-12.69234160499838,0.712207557110748,0,1
detailed,stress,previous_canonical,False,STEP no-KI,base,0.0,terms,1,0.0,0.0,0.0,0.0,0.0,0,0
detailed,stress,previous_canonical,False,STEP no-KI,coupon_regular,-0.01,terms,1,-83.61267180711747,-83.61267180711747,-83.61267180711747,-83.61267180711747,0.215427675772511,0,1
detailed,stress,previous_canonical,False,STEP no-KI,coupon_regular,-0.005,terms,1,-41.8063359035587,-41.8063359035587,-41.8063359035587,-41.8063359035587,0.1077138378862555,0,1
detailed,stress,previous_canonical,False,STEP no-KI,coupon_regular,-0.0025,terms,1,-20.903167951779118,-20.903167951779118,-20.903167951779118,-20.903167951779118,0.0538569189431278,0,1
detailed,stress,previous_canonical,False,STEP no-KI,coupon_regular,-0.001,terms,1,-8.361267180711193,-8.361267180711193,-8.361267180711193,-8.361267180711193,0.0215427675772514,0,1
detailed,stress,previous_canonical,False,STEP no-KI,coupon_regular,0.001,terms,1,8.361267180712538,8.361267180712538,8.361267180712538,8.361267180712538,0.02154276757725,1,0
detailed,stress,previous_canonical,False,STEP no-KI,coupon_regular,0.0025,terms,1,20.903167951779395,20.903167951779395,20.903167951779395,20.903167951779395,0.0538569189431275,1,0
detailed,stress,previous_canonical,False,STEP no-KI,coupon_regular,0.005,terms,1,41.806335903558704,41.806335903558704,41.806335903558704,41.806335903558704,0.1077138378862552,1,0
detailed,stress,previous_canonical,False,STEP no-KI,coupon_regular,0.01,terms,1,83.61267180711754,83.61267180711754,83.61267180711754,83.61267180711754,0.215427675772511,1,0
detailed,stress,previous_canonical,False,STEP no-KI,first_strike,-0.05,terms,1,59.40008383893497,59.40008383893497,59.40008383893497,59.40008383893497,2.4536922762934497,1,0
detailed,stress,previous_canonical,False,STEP no-KI,first_strike,-0.025,terms,1,29.601520986877727,29.601520986877727,29.601520986877727,29.601520986877727,1.7729329191973795,1,0
detailed,stress,previous_canonical,False,STEP no-KI,first_strike,-0.01,terms,1,11.152417452220831,11.152417452220831,11.152417452220831,11.152417452220831,1.1196242925031894,1,0
detailed,stress,previous_canonical,False,STEP no-KI,first_strike,-0.005,terms,1,4.760428378714887,4.760428378714887,4.760428378714887,4.760428378714887,0.7691057817976696,1,0
detailed,stress,previous_canonical,False,STEP no-KI,first_strike,0.005,terms,1,-4.386891558057415,-4.386891558057415,-4.386891558057415,-4.386891558057415,0.7522767195944724,0,1
detailed,stress,previous_canonical,False,STEP no-KI,first_strike,0.01,terms,1,-7.704436213272658,-7.704436213272658,-7.704436213272658,-7.704436213272658,1.0358782991404665,0,1
detailed,stress,previous_canonical,False,STEP no-KI,first_strike,0.025,terms,1,-15.380618665326724,-15.380618665326724,-15.380618665326724,-15.380618665326724,1.601390820283319,0,1
detailed,stress,previous_canonical,False,STEP no-KI,first_strike,0.05,terms,1,-21.181764003452727,-21.181764003452727,-21.181764003452727,-21.181764003452727,2.151946359732072,0,1
detailed,stress,previous_canonical,False,STEP no-KI,last_strike,-0.05,terms,1,109.7981531315326,109.7981531315326,109.7981531315326,109.7981531315326,2.165769235371535,1,0
detailed,stress,previous_canonical,False,STEP no-KI,last_strike,-0.025,terms,1,52.584785361515856,52.584785361515856,52.584785361515856,52.584785361515856,1.48936325255377,1,0
detailed,stress,previous_canonical,False,STEP no-KI,last_strike,-0.01,terms,1,21.769749231915767,21.769749231915767,21.769749231915767,21.769749231915767,0.9544594790336,1,0
detailed,stress,previous_canonical,False,STEP no-KI,last_strike,-0.005,terms,1,10.622976649123524,10.622976649123524,10.622976649123524,10.622976649123524,0.6658440953451403,1,0
detailed,stress,previous_canonical,False,STEP no-KI,last_strike,0.005,terms,1,-10.980335866888066,-10.980335866888066,-10.980335866888066,-10.980335866888066,0.6737769568506207,0,1
detailed,stress,previous_canonical,False,STEP no-KI,last_strike,0.01,terms,1,-20.050930650580508,-20.050930650580508,-20.050930650580508,-20.050930650580508,0.907702604729868,0,1
detailed,stress,previous_canonical,False,STEP no-KI,last_strike,0.025,terms,1,-51.06157759350386,-51.06157759350386,-51.06157759350386,-51.06157759350386,1.4333701776934011,0,1
detailed,stress,previous_canonical,False,STEP no-KI,last_strike,0.05,terms,1,-100.9435038547781,-100.9435038547781,-100.9435038547781,-100.9435038547781,1.9804363120875588,0,1
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,base,0.0,terms,23,0.0,0.0,0.0,0.0,0.0,0,0
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,coupon_regular,-0.01,terms,23,-69.33664815815787,-65.57462587438246,-112.82684352511504,-33.461440801015534,0.2111278204766693,0,23
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,coupon_regular,-0.005,terms,23,-34.66832407907882,-32.78731293719008,-56.41342176255839,-16.730720400508407,0.10556391023833506,0,23
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,coupon_regular,-0.0025,terms,23,-17.33416203953949,-16.393656468595857,-28.20671088127858,-8.365360200254873,0.05278195511916758,0,23
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,coupon_regular,-0.001,terms,23,-6.933664815815712,-6.557462587437881,-11.28268435251179,-3.346144080101671,0.021112782047667467,0,23
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,coupon_regular,0.001,terms,23,6.933664815815954,6.557462587437608,3.346144080100373,11.282684352511623,0.02111278204766639,23,0
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,coupon_regular,0.0025,terms,23,17.334162039539603,16.39365646859605,8.365360200253575,28.20671088127883,0.05278195511916696,23,0
detailed,stress,previous_real_terms_synthetic,False,LIZARD KI,coupon_regular,0.005,terms,23,34.66832407907902,32.787312937190215,16.730720400507096,56.41342176255722,0.10556391023833436,23,0
