payoff,cohort,model,seed,n_rows,n_families,price_mae,price_rmse,price_r2
detailed,regular_test,augmented_delta,101,128,128,62.657897719667496,82.58957683840265,0.9678599226433235
detailed,regular_test,augmented_delta,233,128,128,69.6140859990893,88.80051351492664,0.9628441338012381
detailed,regular_test,augmented_delta,47,128,128,69.18364312318718,92.86811322598939,0.9593622475677086
detailed,regular_test,augmented_delta,ensemble,128,128,60.813999157585435,79.66955409191029,0.9700924244340898
detailed,regular_test,augmented_price,101,128,128,81.66837436209624,107.52005225575456,0.9455277430971478
detailed,regular_test,augmented_price,233,128,128,83.51170596331264,108.42228999753453,0.9446097165634364
detailed,regular_test,augmented_price,47,128,128,74.73356909458033,98.39262968518129,0.9543835408258227
detailed,regular_test,augmented_price,ensemble,128,128,75.19468459647575,98.68581427687701,0.9541112853002787
detailed,regular_test,prior_frozen_affine_coupon_delta,ensemble,128,128,97.66646528967456,128.04044200554077,0.9227513736912991
reference,monthly_test,affine_coupon_delta,101,128,128,62.13843620169402,74.41933917082135,0.9731999593514753
reference,monthly_test,affine_coupon_delta,233,128,128,23.827767781737123,34.90972269496821,0.9941026536811736
reference,monthly_test,affine_coupon_delta,47,128,128,24.141846353378213,36.502451814331366,0.9935522542048352
reference,monthly_test,affine_coupon_delta,ensemble,128,128,30.60831391159539,36.84859398455833,0.9934293902030206
reference,monthly_test,augmented_delta,101,128,128,64.97351995675714,86.13608725096425,0.9640967209824649
reference,monthly_test,augmented_delta,233,128,128,87.02186744236778,116.89073787445156,0.9338813413430196
reference,monthly_test,augmented_delta,47,128,128,65.51429170348854,90.2294601171794,0.9606032359150437
reference,monthly_test,augmented_delta,ensemble,128,128,67.29878002893241,96.27167178825567,0.9551501637937619
reference,monthly_test,augmented_price,101,128,128,88.53391137082124,121.05287349407547,0.9290889297483511
reference,monthly_test,augmented_price,233,128,128,87.06493897557183,112.06505533785183,0.9392278985618763
reference,monthly_test,augmented_price,47,128,128,51.15085737539485,62.339202451480375,0.9811944379575084
reference,monthly_test,augmented_price,ensemble,128,128,70.51923426860935,93.42727604111097,0.9577612353688165
reference,monthly_test,prior_frozen_affine_coupon_delta,ensemble,128,128,165.47303865044137,237.51904048696096,0.7270012273438043
reference,other_diagnostic,affine_coupon_delta,101,86,86,84.51355962010658,137.2055532129047,0.9601238886260942
reference,other_diagnostic,affine_coupon_delta,233,86,86,99.79216848149727,181.29763823710093,0.9303768425280403
reference,other_diagnostic,affine_coupon_delta,47,86,86,99.02688562089607,196.89223267868866,0.917884226273231
reference,other_diagnostic,affine_coupon_delta,ensemble,86,86,88.86541780064256,164.10926489212486,0.9429526306902531
reference,other_diagnostic,augmented_delta,101,86,86,95.68281853536259,181.27509872551852,0.9303941530063344
reference,other_diagnostic,augmented_delta,233,86,86,111.47814217680626,208.84649366105265,0.9076102486274307
reference,other_diagnostic,augmented_delta,47,86,86,93.40011887413338,165.8561800966043,0.94173164743436
reference,other_diagnostic,augmented_delta,ensemble,86,86,92.77742030067361,175.9201274083736,0.9344458057568787
reference,other_diagnostic,augmented_price,101,86,86,79.41241578559027,144.82675786014687,0.9555709487877653
reference,other_diagnostic,augmented_price,233,86,86,116.53550563481292,194.83197636708908,0.9195937340762517
reference,other_diagnostic,augmented_price,47,86,86,106.97964365339341,169.97754202807027,0.9387998464927018
reference,other_diagnostic,augmented_price,ensemble,86,86,93.99943361172274,162.10218622994967,0.9443394919533487
reference,other_diagnostic,prior_frozen_affine_coupon_delta,ensemble,86,86,160.3280338903598,298.71541903241166,0.8109900344782246
reference,published_monthly_6,affine_coupon_delta,101,6,6,28.210546156702247,32.63327746406505,0.9877177887581088
reference,published_monthly_6,affine_coupon_delta,233,6,6,25.112464446884587,27.648227298891964,0.9911836310206554
reference,published_monthly_6,affine_coupon_delta,47,6,6,18.709222559817437,21.59611296917469,0.9946209403958641
reference,published_monthly_6,affine_coupon_delta,ensemble,6,6,11.54947951570648,15.348980044121564,0.9972828462207111
reference,published_monthly_6,augmented_delta,101,6,6,45.82237584133539,48.019255878018924,0.973405855324615
reference,published_monthly_6,augmented_delta,233,6,6,13.580475619787043,15.704581399188918,0.9971554871158385
reference,published_monthly_6,augmented_delta,47,6,6,16.49295724566188,22.385915981734502,0.9942203050874701
reference,published_monthly_6,augmented_delta,ensemble,6,6,22.550801926913362,24.326286193068324,0.993174934886553
reference,published_monthly_6,augmented_price,101,6,6,15.71998795132246,21.893025472036424,0.994472016473775
reference,published_monthly_6,augmented_price,233,6,6,26.835346527501013,35.94895992179826,0.9850951422634578
reference,published_monthly_6,augmented_price,47,6,6,33.375579121315546,36.990803243011946,0.9842187027758836
reference,published_monthly_6,augmented_price,ensemble,6,6,23.93989894383867,27.919780945823742,0.9910095964021741
reference,published_monthly_6,prior_frozen_affine_coupon_delta,ensemble,6,6,102.25292858947039,140.02237869577328,0.7738742200929485
reference,regular_test,affine_coupon_delta,101,128,128,51.41545766161862,69.42568372794241,0.9792136203486763
reference,regular_test,affine_coupon_delta,233,128,128,58.99563082827176,78.93814032028361,0.9731272380091118
reference,regular_test,affine_coupon_delta,47,128,128,49.929996321682026,68.95205672413093,0.979496265288428
reference,regular_test,affine_coupon_delta,ensemble,128,128,48.76496006022208,66.84478019105943,0.9807303634605797
reference,regular_test,augmented_delta,101,128,128,58.433748346177154,81.80593004598784,0.9711392178225682
reference,regular_test,augmented_delta,233,128,128,57.65135257418153,80.96633526638334,0.9717285886851587
reference,regular_test,augmented_delta,47,128,128,53.85302954532476,77.15362734597707,0.9743285013746944
reference,regular_test,augmented_delta,ensemble,128,128,51.0097372419996,73.73430871028303,0.9765535146954447
reference,regular_test,augmented_price,101,128,128,63.84339587475405,91.36052146520133,0.9640038822635143
reference,regular_test,augmented_price,233,128,128,65.7031944669976,91.10810387898714,0.9642025129455146
reference,regular_test,augmented_price,47,128,128,61.70770850583206,81.4338048945786,0.9714011889501452
reference,regular_test,augmented_price,ensemble,128,128,58.09861127208177,80.38683122916883,0.9721318369271453
reference,regular_test,prior_frozen_affine_coupon_delta,ensemble,128,128,124.06169044947782,173.35301192961816,0.870401102330578
