item,isu_ord,opt_type,ki_yn,fair,mc,mc_iv,n_iv_udl,hv_ns,iv_boot,iv_ns,hv_ns_se,iv_boot_se,iv_ns_se
KR67033A1957,737194,STEP,1,0.9301232323232322,1.0021175,0.94447225,3,1.0026505178280174,0.944111977702193,0.9433532035944984,0.0005238723270968433,0.001071120956156995,0.0010580601728999823
KR65033A9954,737194,LIZARD,0,0.927507,1.0010202,0.9542602,3,1.0000477004222572,0.9542309684110806,0.9536122195048258,0.00043488209023817017,0.0009569758442954235,0.0009461162511823325
KR6763331958,737194,STEP,1,0.9352898989898992,0.9981725,0.947319,3,0.9983704360485077,0.947942099247314,0.9474435433447361,0.00048808756407622654,0.0009958067221782216,0.000984846062269196
KR65733A4958,737194,LIZARD,0,0.899114,0.98853993,0.9365376,3,0.9870202274594456,0.9338757536334917,0.9336706521259621,0.00071951433490431,0.0011403921498419152,0.0011252723659658079
KR65033AF955,737194,STEP,0,0.926329,0.98404264,0.9310832,3,0.9845889833133668,0.9308409581273794,0.9302091144802049,0.0008030138108616355,0.0011952236928559287,0.0011769523444976335
KR6573374958,737194,LIZARD,0,0.9550676767676768,0.99007666,0.99205536,3,0.9902139527603984,0.9918407271042466,0.9914075458213687,0.00048504381774315823,0.00048365323780201323,0.0004677537255018561
KR65733AB959,737194,STEP,0,0.906821,0.99713725,0.9380472,3,0.9963534663960337,0.9386296317001804,0.9375956954479218,0.000699690152564068,0.0011531835986028241,0.0011357965437587198
KR6703341950,737194,LIZARD,0,0.8950152284263959,0.97833407,0.92384297,3,0.9790379702527076,0.9242268054364249,0.9240089658830315,0.0007682057350824203,0.0011630512047787081,0.001148559474333718
KR65793A5952,737194,STEP,1,0.909832,0.97724646,0.9223374,2,0.9781970617488026,0.9250755182869732,0.9249698489688337,0.0008957996539587667,0.0012348735206649908,0.0012208030680290576
KR6613353954,737194,LIZARD,1,0.983418181818182,0.9823992,0.98439085,3,0.9823667358063162,0.9844776001725346,0.9828843445643782,0.0004724913512870588,0.00047687669969917793,0.0004645994665166596
KR65433BM951,737194,LIZARD,0,1.0174545454545454,0.97813725,0.93537647,3,0.9779886736527086,0.93454021127671,0.9347084029799327,0.0006766038679927858,0.0010383294088415187,0.0010275405276146397
KR6503366959,737194,STEP,0,0.926279797979798,0.99040514,0.9513586,3,0.9911668825883418,0.9528987604039721,0.9526729579593055,0.0005226698835033325,0.0009289404958317948,0.0009190568599719748
KR6613354952,737194,STEP,1,0.9830181818181818,1.0000429,0.9999869,3,1.000409251210466,1.0005190134387463,0.9994088584676385,0.0003962054063479107,0.00042563632239891867,0.0004122542674106944
KR6503360952,737194,STEP,1,0.9390313131313132,1.0019501,0.9436399,3,1.0022465553630144,0.944430618366599,0.9437510158009828,0.000466557753350113,0.0010357460023962782,0.001023679238018991
KR6523379958,737194,LIZARD,0,0.9286030303030304,0.99434155,0.94678843,3,0.9931941002830863,0.9459100573536009,0.9459898797497154,0.0004704846713733197,0.0009498427900554099,0.0009396293735804541
